,SESESE,SESE,SE,SESE,SE,SE,SESE,SESE,SESE,SE,SESE,SE,SE,SESE,SE,SESE
Comuna ,9 10 11 ,12 13 ,14 ,15 16 ,17 ,18 ,19 20 ,21 22 ,23 24 ,25 ,26 27 ,28 ,29 ,30 31 ,32 ,33 34 
Angol ,0 1 1 ,3 10 ,11 ,15 35 ,27 ,11 ,11 7 ,24 19 ,57 59 ,42 ,30 40 ,29 ,25 ,30 24 ,26 ,0 O 
Carahue ,& 0 O O ,0 3 ,10 ,9 8 ,5 ,1 ,O 3 ,14 11 ,5 5 ,5 ,2 2 ,5 ,3 ,12 12 ,6 ,O O 
Cholchol ,O O O ,1 2 ,0 ,0 1 ,0 ,O ,1 0 ,1 12 ,5 1 ,0 ,0 6 ,4 ,2 ,2 1 ,1 ,0 0 
Collipulli ,O O O ,O O ,1 ,1 1 ,3 ,O ,2 9 ,9 6 ,7 9 ,6 ,10 3 ,O ,1 ,2 29 ,33 ,4 0 
Cunco ,O O O ,O 3 ,2 ,O 1 ,O ,O ,1 5 ,18 O ,11 8 ,3 ,5 4 ,12 ,8 ,6 5 ,7 ,2 O 
Curacautin ,0 O O ,2 O ,2 ,0 O ,2 ,0 ,1 O ,O 2 ,4 9 ,O ,1 1 ,4 ,2 ,4 0 ,O ,1 0 
Curarrehue ,0 O 1 ,1 2 ,O ,0 O ,O ,O ,O 0 ,0 0 ,0 0 ,0 ,O O ,0 ,0 ,O 0 ,0 ,O 0 
Ercilla ,O O O ,O O ,4 ,O 5 ,1 ,1 ,O O ,4 1 ,2 2 ,O ,O 2 ,8 ,5 ,20 2 ,5 ,5 O 
Freire ,0 O O ,2 4 ,0 ,0 2 ,O ,1 ,11 11 ,28 16 ,18 6 ,9 ,2 1 ,4 ,3 ,5 0 ,2 ,O 0 
Galvarino ,0 O 0 ,0 O ,2 ,0 O ,0 ,1 ,0 0 ,6 43 ,41 13 ,6 ,10 11 ,0 ,O ,0 1 ,0 ,0 0 
Gorbea ,O 0 1 ,4 4 ,1 ,O 1 ,O ,1 ,3 O ,5 5 ,5 6 ,0 ,O O ,2 ,0 ,1 1 ,5 ,O 0 
