Pucon,29782,93,312.3,O,0.0,3,10.1,3,10.1
Puren ,12188 ,46 ,377.4 ,1 ,8.2 ,2 ,16.4 ,2 ,16.4 
Renaico ,10833 ,61 ,563.1 ,1 ,9.2 ,O ,0.0 ,0 ,0.0 
Saavedra ,12793 ,99 ,773.9 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Temuco ,& 302931 ,1320 ,435.7 ,27 ,8.9 ,64 ,21.1 ,64 ,21.1 
Teodoro Schmidt ,15786 ,31 ,196.4 ,1 ,6.3 ,O ,0.0 ,O ,0.0 
Tolten ,10055 ,18 ,179.0 ,1 ,9.9 ,O ,0.0 ,O ,0.0 
Traiguen ,19314 ,63 ,326.2 ,O ,0.0 ,4 ,20.7 ,4 ,20.7 
Victoria ,& 35467 ,218 ,614.7 ,7 ,19.7 ,7 ,19.7 ,7 ,19.7 
Vilcun ,30766 ,177 ,575.3 ,3 ,9.8 ,20 ,65.0 ,20 ,65.0 
Villarrica ,59103 ,109 ,184.4 ,1 ,1.7 ,2 ,3.4 ,2 ,3.4 
Desconocido ,& - ,1 ,- ,O ,- ,O ,- ,0 ,- 
Total ,1014343 ,4579 ,451.4 ,77 ,7.6 ,279 ,27.5 ,279 ,27.5 
