Lautaro,1OO6,3,15,56,2,6,11,314,21,6,10,46,3,8,11,247,47O
Loncoche ,O O O 2 ,3 ,2 ,4 3 ,3 ,3 ,2 ,2 7 ,19 ,1 ,6 ,4 17 ,3 ,O ,1 ,1 O ,O O O 
Lonquimay ,O O O O ,O ,O ,O O ,2 ,13 ,12 ,27 12 ,2 ,O ,O ,3 O ,O ,O ,O ,O O ,O O O 
Los Sauces ,O O O O ,O ,O ,O 1 ,O ,O ,O ,O 1 ,3 ,2 ,1 ,1 7 ,3 ,2 ,1 ,13 22 ,2 O O 
Lumaco ,O O O O ,O ,O ,O 4 ,2 ,1 ,O ,1 3 ,2 ,9 ,8 ,6 2 ,2 ,2 ,O ,O O ,1 O O 
Melipeuco ,O O O O ,O ,O ,O O ,O ,O ,O ,O 5 ,2 ,1 ,O ,O O ,1 ,2 ,O ,O 2 ,O O O 
Nueva Imperia ,& 0 O O 4 ,10 ,4 ,13 5 ,4 ,2 ,6 ,5 2 ,3 ,24 ,19 ,11 9 ,6 ,O ,5 ,1 7 ,2 1 O 
Padre Las Casas ,O O O 12 ,27 ,24 ,17 17 ,11 ,O ,5 ,24 16 ,13 ,4 ,7 ,2 3 ,16 ,4 ,14 ,9 4 ,7 6 O 
Perquenco ,O O O 1 ,1 ,O ,O 3 ,O ,O ,1 ,O O ,2 ,7 ,3 ,8 12 ,3 ,2 ,1 ,O O ,5 6 O 
Pitrufquen ,0 O 0 4 ,9 ,4 ,O 1 ,O ,3 ,1 ,6 15 ,20 ,10 ,1 ,8 9 ,5 ,1 ,O ,3 4 ,2 O 0 
Pucon ,O O 1 3 ,O ,4 ,3 1 ,3 ,O ,3 ,2 12 ,16 ,9 ,3 ,4 5 ,1 ,4 ,7 ,7 4 ,1 O O 
Puren ,O O O O ,2 ,O ,O 2 ,O ,2 ,1 ,O 1 ,1 ,O ,6 ,5 6 ,2 ,4 ,9 ,1 3 ,1 O O 
Renaico ,O O O O ,O ,1 ,3 3 ,O ,4 ,3 ,5 4 ,2 ,2 ,5 ,12 4 ,4 ,1 ,2 ,6 O ,O O 0 
Saavedra ,O O 1 1 ,O ,1 ,5 8 ,17 ,13 ,18 ,11 9 ,4 ,5 ,3 ,O O ,2 ,1 ,O ,O O ,O O O 
Temuco ,& O 3 26 156 ,174 ,129 ,112 58 ,25 ,27 ,49 ,43 28 ,16 ,20 ,30 ,29 43 ,56 ,47 ,45 ,72 87 ,38 7 O 
Teodoro Schmidt ,O O O 1 ,2 ,O ,1 1 ,O ,O ,O ,1 3 ,1 ,2 ,9 ,6 3 ,1 ,O ,O ,O O ,O O O 
Tolten ,O O O 4 ,1 ,2 ,1 O ,O ,O ,O ,2 5 ,1 ,O ,O ,O O ,1 ,O ,O ,O 1 ,O O O 
Traiguen ,O O O O ,O ,1 ,O 1 ,O ,O ,1 ,4 4 ,5 ,6 ,7 ,6 8 ,3 ,O ,1 ,10 3 ,2 1 0 
Victoria ,& O O 1 2 ,9 ,2 ,1 31 ,20 ,11 ,2 ,4 20 ,14 ,23 ,21 ,2 4 ,4 ,5 ,14 ,14 12 ,2 O O 
Vilcun ,O O O 6 ,11 ,15 ,8 4 ,3 ,5 ,6 ,7 21 ,9 ,7 ,4 ,5 2 ,7 ,6 ,6 ,19 8 ,12 6 O 
Villarrica ,O O O 2 ,10 ,6 ,1 1 ,O ,O ,1 ,2 4 ,7 ,7 ,23 ,19 15 ,3 ,O ,4 ,1 1 ,2 O O 
Desconocido ,& O O O O ,1 ,O ,O O ,O ,O ,O ,O O ,O ,O ,O ,O O ,O ,O ,O ,O O ,O O O 
Total ,1 4 32 217 ,291 ,243 ,199 204 ,130 ,106 ,152 ,184 295 ,278 ,300 ,284 ,206 215 ,196 ,157 ,170 ,263 240 ,166 46 0 
