Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Ancud ,42458 ,113 ,266.1 ,2 ,4.7 ,2 ,4.7 ,2 ,4.7 
Calbuco ,& 36744 ,289 ,786.5 ,4 ,10.9 ,75 ,204.1 ,75 ,204.1 
Castro ,47607 ,31 ,65.1 ,O ,0.0 ,5 ,10.5 ,5 ,10.5 
Chaiten ,5020 ,12 ,239.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Chonchi ,16013 ,1 ,6.2 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Cochamo ,& 4006 ,23 ,574.1 ,0 ,0.0 ,1 ,25.0 ,1 ,25.0 
Curaco de Velez ,4066 ,18 ,442.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Dalcahue ,15069 ,8 ,53.1 ,1 ,6.6 ,O ,0.0 ,O ,0.0 
Fresia ,12656 ,86 ,679.5 ,2 ,15.8 ,22 ,173.8 ,22 ,173.8 
Frutillar ,& 20223 ,246 ,1216.4 ,0 ,0.0 ,61 ,301.6 ,61 ,301.6 
Futaleufu ,2806 ,1 ,35.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Hualaihue ,9525 ,20 ,210.0 ,1 ,10.5 ,O ,0.0 ,O ,0.0 
Llanquihue ,18621 ,172 ,923.7 ,1 ,5.4 ,36 ,193.3 ,36 ,193.3 
LOs Muermos ,17817 ,94 ,527.6 ,0 ,0.0 ,27 ,151.5 ,27 ,151.5 
Maullin ,14894 ,127 ,852.7 ,0 ,0.0 ,36 ,241.7 ,36 ,241.7 
Osorno ,& 173410 ,998 ,575.5 ,18 ,10.4 ,180 ,103.8 ,180 ,103.8 
Palena ,1827 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Puerto Montt ,& 269398 ,2646 ,982.2 ,18 ,6.7 ,433 ,160.7 ,432 ,160.4 
Puerto Octay ,9192 ,48 ,522.2 ,O ,0.0 ,15 ,163.2 ,15 ,163.2 
Puerto Varas ,48620 ,240 ,493.6 ,3 ,6.2 ,60 ,123.4 ,60 ,123.4 
Puqueldon ,4201 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
