Fecha,Casosnuevos,Casosacumulados
01-mar ,O ,0 
02-mar ,1 ,1 
03-mar ,2 ,3 
04-mar ,1 ,4 
05-mar ,1 ,5 
06-mar ,1 ,6 
07-mar ,2 ,8 
08-mar ,3 ,11 
09-mar ,6 ,17 
10-mar ,5 ,22 
11-mar ,11 ,33 
12-mar ,10 ,43 
13-mar ,18 ,61 
14-mar ,14 ,75 
15-mar ,81 ,156 
16-mar ,45 ,201 
17-mar ,37 ,238 
18-mar ,103 ,341 
19-mar ,93 ,434 
20-mar ,103 ,537 
21-mar ,95 ,632 
22-mar ,114 ,746 
23-mar ,176 ,922 
24-mar ,220 ,1142 
25-mar ,164 ,1306 
26-mar ,304 ,1610 
27-mar ,299 ,1909 
28-mar ,230 ,2139 
29-mar ,310 ,2449 
30-mar ,289 ,2738 
31-mar ,293 ,3031 
01-abr ,373 ,3404 
02-abr ,333 ,3737 
03-abr ,424 ,4161 
04-abr ,310 ,4471 
05-abr ,344 ,4815 
06-abr ,301 ,5116 
07-abr ,430 ,5546 
08-abr ,426 ,5972 
09-abr ,529 ,6501 
10-abr ,426 ,6927 
11-abr ,286 ,7213 
12-abr ,312 ,7525 
13-abr ,392 ,7917 
14-abr ,356 ,8273 
15-abr ,534 ,8807 
16-abr ,445 ,9252 
