Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Biobio ,6775 ,177 ,2612.5 ,2 ,29.5 ,2 ,29.5 
Antuco ,4306 ,64 ,1486.3 ,1 ,23.2 ,1 ,23.2 
Arauco ,& 38679 ,504 ,1303.0 ,59 ,152.5 ,59 ,152.5 
Cabrero ,30725 ,183 ,595.6 ,18 ,58.6 ,18 ,58.6 
Canete ,& 37003 ,195 ,527.0 ,50 ,135.1 ,50 ,135.1 
Chiguayante ,& 91180 ,887 ,972.8 ,158 ,173.3 ,158 ,173.3 
Concepcion ,& 238092 ,2466 ,1035.7 ,369 ,155.0 ,369 ,155.0 
Contulmo ,6330 ,52 ,821.5 ,4 ,63.2 ,4 ,63.2 
Coronel ,& 125829 ,1802 ,1432.1 ,185 ,147.0 ,184 ,146.2 
Curanilahue ,33892 ,241 ,711.1 ,15 ,44.3 ,15 ,44.3 
Florida ,11841 ,81 ,684.1 ,14 ,118.2 ,14 ,118.2 
Hualpen ,& 97273 ,1105 ,1136.0 ,183 ,188.1 ,180 ,185.0 
Hualqui ,26201 ,347 ,1324.4 ,78 ,297.7 ,78 ,297.7 
Laja ,23873 ,199 ,833.6 ,8 ,33.5 ,8 ,33.5 
Lebu ,27100 ,61 ,225.1 ,8 ,29.5 ,8 ,29.5 
Los Alamos ,22524 ,182 ,808.0 ,20 ,88.8 ,20 ,88.8 
Los Angeles ,& 218515 ,1355 ,620.1 ,89 ,40.7 ,88 ,40.3 
Lota ,& 45750 ,565 ,1235.0 ,61 ,133.3 ,61 ,133.3 
Mulchen ,31041 ,159 ,512.2 ,14 ,45.1 ,14 ,45.1 
Nacimiento ,27944 ,191 ,683.5 ,14 ,50.1 ,14 ,50.1 
Negrete ,10429 ,163 ,1562.9 ,25 ,239.7 ,25 ,239.7 
