Penco,&49865,787,1578.3,156,312.8,156,312.8
Quilaco ,4179 ,28 ,670.0 ,1 ,23.9 ,1 ,23.9 
Quilleco ,10032 ,79 ,787.5 ,7 ,69.8 ,7 ,69.8 
San Pedro de la Paz ,& 145906 ,1244 ,852.6 ,140 ,96.0 ,140 ,96.0 
San Rosendo ,3611 ,36 ,997.0 ,O ,0.0 ,O ,0.0 
Santa Barbara ,& 14592 ,177 ,1213.0 ,15 ,102.8 ,15 ,102.8 
Santa Juana ,14779 ,104 ,703.7 ,9 ,60.9 ,9 ,60.9 
Talcahuano ,& 158345 ,1867 ,1179.1 ,264 ,166.7 ,264 ,166.7 
Tirua ,11019 ,43 ,390.2 ,6 ,54.5 ,6 ,54.5 
Tome ,& 58729 ,733 ,1248.1 ,165 ,281.0 ,164 ,279.2 
Tucapel ,15205 ,165 ,1085.2 ,4 ,26.3 ,4 ,26.3 
Yumbel ,22132 ,243 ,1098.0 ,7 ,31.6 ,7 ,31.6 
Desconocido ,& - ,190 ,- ,32 ,- ,32 ,- 
Total ,1663696 ,16675 ,1002.3 ,2181 ,131.1 ,2175 ,130.7 
,,,,,,,
,,,,,,,
