,SESESESESE,SESE,SESESE,SESE,SESE,SESESE,SESESE,SE,SESESE,SE,SESE
Comuna ,9 10 11 12 13 ,14 15 ,16 17 18 ,19 20 ,21 22 ,23 24 25 ,26 27 28 ,29 ,30 31 32 ,33 ,34 35 
Aisen ,O O 1 O O ,O O ,O O O ,O O ,1 2 ,O 2 5 ,3 3 11 ,9 ,5 5 9 ,2 ,1 O 
Chile Chico ,O O O O O ,1 O ,0 O O ,0 O ,0 0 ,O O O ,0 O 0 ,O ,O O O ,O ,O O 
Cisnes ,O O O O O ,O O ,O O O ,O O ,O O ,O O O ,O O O ,O ,O O O ,O ,O O 
Cochrane ,O O O O O ,O O ,O O O ,O O ,0 O ,O O O ,O O O ,O ,O O O ,0 ,O O 
Coyhaique ,O O 1 O O ,1 O ,0 O O ,1 O ,4 3 ,3 2 4 ,9 O 2 ,O ,2 4 1 ,O ,O 0 
Guaitecas ,O O O O O ,O O ,O O O ,O O ,O O ,O O O ,O O O ,O ,O O 1 ,O ,O O 
Lago Verde ,O O O O O ,O O ,O O O ,O O ,O O ,O O O ,O O O ,O ,O O O ,O ,O O 
O'Higgins ,O O O O O ,O O ,O O O ,O O ,0 O ,O O O ,O O O ,O ,O O O ,O ,O 0 
Rio Ibanez ,O O O O O ,O O ,O O O ,O O ,O O ,O O O ,O O O ,O ,O O O ,O ,O O 
Tortel ,O O O O O ,O O ,O O O ,O O ,O O ,O O O ,O O O ,O ,O O O ,O ,O O 
Desconocido ,O O 1 O O ,O O ,O O O ,O O ,O O ,O O O ,O O O ,O ,O O O ,O ,O O 
Total ,0 0 3 0 0 ,2 0 ,0 0 0 ,1 0 ,5 5 ,3 4 9 ,12 3 13 ,9 ,7 9 11 ,2 ,1 0 
