,,,,,NumerodeCasossegun,Fechade,Iniciode,Sintomas.,Notificacion,oToma,deMuestra,,
,,SE SE ,SE SE ,SE SE SE SE ,SE SE SE SE ,SE ,SE ,SE ,SE SE ,SE ,SE ,SE SE SE SE SE SE ,SE SE 
Region de Notificacion o Toma de Muestra ,Residencia Desconocida ,9 10 ,11 12 ,13 14 15 16 ,17 18 19 20 ,21 ,22 ,23 ,24 25 ,26 ,27 ,28 29 30 31 32 33 ,34 35 
Region de Arica y Parinacota ,25 ,O O ,O 0 ,O O 1 O ,O O O O ,O ,O ,O ,O 0 ,O ,0 ,O 2 3 3 10 2 ,4 O 
Region de Tarapaca ,434 ,O 0 ,0 0 ,0 0 1 0 ,1 5 95 29 ,25 ,25 ,31 ,25 20 ,22 ,16 ,20 33 35 14 17 16 ,4 0 
Region de Antofagasta ,272 ,O 0 ,O O ,O O O 1 ,5 O 1 1 ,0 ,O ,5 ,10 41 ,30 ,27 ,25 24 21 27 26 14 ,14 O 
Region de Atacama ,31 ,0 0 ,0 O ,0 O O 0 ,0 0 0 0 ,0 ,O ,O ,0 9 ,1 ,2 ,1 3 2 0 11 2 ,O O 
Region de Coquimbo ,143 ,0 0 ,O 1 ,0 3 1 1 ,1 O 1 3 ,10 ,8 ,9 ,17 11 ,16 ,10 ,18 12 1 8 5 2 ,5 O 
Region de Valparaiso ,393 ,O 0 ,O 2 ,3 3 1 1 ,O 0 11 8 ,6 ,37 ,27 ,37 57 ,46 ,51 ,25 23 12 11 12 13 ,7 O 
Region Metropolitana de Santiago ,15850 ,O 0 ,7 9 ,19 54 177 364 ,564 710 1410 2169 ,2409 ,1672 ,1349 ,1351 1423 ,853 ,471 ,288 162 99 110 65 54 ,61 O 
Region del Libertador General Bernardo OHiggins ,62 ,O 0 ,0 0 ,0 O 2 O ,O 0 1 1 ,7 ,O ,6 ,4 9 ,7 ,2 ,11 3 6 O 1 0 ,2 O 
Region del Maule ,6 ,O O ,O 0 ,0 O O O ,0 O O 1 ,0 ,O ,0 ,3 O ,O ,O ,1 1 O O O O ,0 O 
Region del Nuble ,4 ,O O ,O O ,0 0 0 O ,O O O O ,0 ,O ,O ,O 0 ,O ,O ,1 O 0 O O 0 ,3 O 
Region del Biobio ,190 ,O 0 ,0 1 ,O 0 0 0 ,0 0 2 4 ,6 ,6 ,9 ,6 27 ,38 ,7 ,11 11 11 12 8 10 ,21 0 
Region de la Araucania ,5 ,O 0 ,O 0 ,1 O O O ,O 0 0 0 ,0 ,O ,0 ,0 0 ,0 ,0 ,0 0 0 0 0 3 ,1 O 
Region de Los Rios ,7 ,0 0 ,1 0 ,0 O 1 1 ,0 0 0 0 ,0 ,1 ,0 ,1 1 ,0 ,0 ,0 0 0 O 1 0 ,0 O 
Region de Los Lagos ,75 ,0 0 ,9 10 ,3 1 0 1 ,3 0 1 1 ,2 ,3 ,1 ,1 3 ,3 ,4 ,12 4 2 3 O 0 ,8 O 
Region de Aysen del General Carlos ibanez del Campo ,1 ,0 0 ,1 0 ,0 O 0 O ,O 0 0 0 ,0 ,0 ,0 ,0 0 ,0 ,0 ,0 0 0 0 0 0 ,0 0 
Region de Magallanes y la Antartica Chilena ,23 ,O 0 ,0 0 ,0 O 3 1 ,2 0 0 0 ,0 ,0 ,0 ,1 O ,0 ,1 ,0 O 1 O 0 0 ,14 O 
Desconocido ,64 ,0 0 ,0 2 ,9 1 1 1 ,1 3 13 O ,6 ,3 ,21 ,0 0 ,0 ,0 ,0 0 0 0 1 1 ,0 0 
Total pais ,17585 ,0 0 ,18 25 ,35 62 188 371 ,577 718 1535 2217 ,2471 ,1755 ,1458 ,1456 1601 ,1016 ,591 ,413 278 193 188 157 117 ,144 0 
