,PadreLasCasas,5,4,9
,Perquenco ,,1 ,1 
,Pitrufquen ,,2 ,2 
,Pucon ,,3 ,3 
,Puren ,1 ,4 ,5 
,Renaico ,2 ,2 ,4 
,Saavedra ,,1 ,1 
,Temuco ,28 ,34 ,62 
,Teodoro Schmidt ,2 ,3 ,5 
,Tolten ,2 ,1 ,3 
,Traiguen ,1 ,3 ,4 
,Victoria ,7 ,6 ,13 
,Vilcun ,2 ,5 ,7 
,Villarrica ,1 ,2 ,3 
,La Union ,4 ,3 ,7 
,Lago Ranco ,1 ,1 ,2 
,Lanco ,,4 ,4 
,Los Lagos ,1 ,2 ,3 
Los Rios ,Mariquina ,,6 ,6 
,Paillaco ,1 ,1 ,2 
,Panguipulli ,1 ,1 ,2 
,Rio Bueno ,,3 ,3 
,Valdivia ,7 ,5 ,12 
,Ancud ,1 ,7 ,8 
,Calbuco ,4 ,,4 
,Castro ,,2 ,2 
,Chonchi ,,1 ,1 
,Dalcahue ,1 ,1 ,2 
,Fresia ,2 ,2 ,4 
,Frutillar ,,5 ,5 
,Hualaihue ,1 ,1 ,2 
,Llanquihue ,2 ,4 ,6 
,Los Muermos ,1 ,2 ,3 
,Maullin ,1 ,2 ,3 
Los Lagos ,Osorno ,19 ,5 ,24 
,Puerto Montt ,16 ,20 ,36 
,Puerto Octay ,1 ,,1 
,Puerto Varas ,1 ,3 ,4 
,Purranque ,3 ,4 ,7 
,Puyehue ,1 ,,1 
,Quellon ,1 ,1 ,2 
,Quinchao ,,2 ,2 
,Rio Negro ,1 ,6 ,7 
,San Juan de la Costa ,3 ,,3 
,San Pablo ,2 ,2 ,4 
,Aisen ,,1 ,1 
Aisen ,Chile Chico ,1 ,,1 
,Coihaique ,,3 ,3 
,Natales ,,12 ,12 
Magallanes ,Punta Arenas ,32 ,25 ,57 
Ignorada ,Ignorada ,1 ,1 ,2 
