Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,10792 ,555 ,34.7 
XV Arica y Parinacota ,97 ,38.5 ,258 
I Tarapaca ,193 ,50.4 ,43.8 
II Antofagasta ,417 ,60.3 ,55.2 
III Atacama ,39 ,12.4 ,8.3 
IV Coquimbo ,112 ,134 ,7.9 
V Valparaiso ,641 ,327 ,17.3 
Region Metropolitana ,8288 ,102.0 ,695 
VI 'Higgins ,316 ,31.9 ,18.5 
VII Maule ,241 ,21.3 ,119 
XVI De Nuble ,75 ,14.7 ,7.3 
VIII Del Biobio ,172 ,103 ,63 
IX Araucania ,89 ,88 ,4.8 
XIV Los Rios ,15 ,3.7 ,2.1 
X Los Lagos ,63 ,71 ,4.0 
XI Aysen ,1 ,09 ,11 
XII Magallanes y la Anta ,32 ,179 ,10.6 
Ignorada ,1 ,0.0 ,0.0 
