ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,6531 ,2590.5 ,671 ,266.2 
Region de Tarapaca ,382773 ,10679 ,2789.9 ,754 ,197.0 
Region de Antofagasta ,691854 ,18119 ,2618.9 ,999 ,144.4 
Region de Atacama ,314709 ,5086 ,1616.1 ,830 ,263.7 
Region de Coquimbo ,836096 ,9888 ,1182.6 ,1130 ,135.2 
Region de Valparaiso ,1960170 ,29093 ,1484.2 ,2197 ,112.1 
Region Metropolitana de Santiago ,8125072 ,297998 ,3667.6 ,5619 ,69.2 
Region del Libertador General Bernardo OHiggins ,991063 ,15131 ,1526.7 ,1084 ,109.4 
Region del Maule ,1131939 ,11660 ,1030.1 ,860 ,76.0 
Region del Nuble ,511551 ,5167 ,1010.1 ,416 ,81.3 
Region del Biobio ,1663696 ,16675 ,1002.3 ,2175 ,130.7 
Region de la Araucania ,1014343 ,4834 ,476.6 ,326 ,32.1 
Region de Los Rios ,405835 ,1077 ,265.4 ,60 ,14.8 
Region de Los Lagos ,891440 ,6137 ,688.4 ,797 ,89.4 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,99 ,92.3 ,4 ,3.7 
Region de Magallanes y la Antartica Chilena ,178362 ,2585 ,1449.3 ,513 ,287.6 
Desconocido ,- ,64 ,- ,2 ,- 
Total pais ,19458310 ,440823 ,2265.5 ,18437 ,94.8 
