Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActua,NumerodeCasosActivos,TasadeIncidenciaActivos
Antofagasta ,& 425725 ,9363 ,2199.3 ,644 ,151.3 ,640 ,150.3 
Calama ,& 190336 ,7038 ,3697.7 ,208 ,109.3 ,207 ,108.8 
Maria Elena ,6814 ,339 ,4975.1 ,2 ,29.4 ,2 ,29.4 
Mejillones ,14776 ,537 ,3634.3 ,32 ,216.6 ,32 ,216.6 
Ollague ,287 ,24 ,8362.4 ,O ,0.0 ,O ,0.0 
San Pedro de Atacama ,10434 ,321 ,3076.5 ,24 ,230.0 ,24 ,230.0 
Sierra Gorda ,1746 ,77 ,4410.1 ,O ,0.0 ,0 ,0.0 
Taltal ,13657 ,166 ,1215.5 ,17 ,124.5 ,17 ,124.5 
Tocopilla ,28079 ,311 ,1107.6 ,17 ,60.5 ,16 ,57.0 
Desconocido ,& - ,280 ,- ,36 ,- ,36 ,- 
Total ,691854 ,18456 ,2667.6 ,980 ,141.6 ,974 ,140.8 
