,,SESESESE,SESESESE,SESE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SESE,SESE,SE,SESE
Comuna ,,9 10 11 12 ,13 14 15 16 ,17 18 ,19 ,20 ,21 22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 30 ,31 32 ,33 ,34 35 
Chepica ,,1 O O 0 ,O 0 O O ,O O ,1 ,6 ,O 4 ,6 ,22 ,18 ,20 ,16 ,26 ,17 13 ,2 5 ,11 ,15 O 
Chimbarongo ,& ,0 0 O 2 ,1 O O 0 ,1 1 ,5 ,13 ,9 7 ,12 ,18 ,19 ,29 ,22 ,16 ,16 14 ,16 7 ,6 ,10 0 
Codegua ,& ,O 0 O 1 ,O 0 O O ,O O ,1 ,3 ,10 10 ,13 ,17 ,21 ,34 ,24 ,27 ,29 22 ,11 9 ,22 ,8 O 
Coinco ,,O O O 0 ,O O O O ,1 O ,4 ,11 ,8 3 ,5 ,7 ,20 ,9 ,15 ,12 ,11 4 ,10 7 ,4 ,O O 
Coltauco ,,0 O O 0 ,O 0 O O ,O 0 ,15 ,9 ,13 4 ,4 ,9 ,20 ,22 ,17 ,26 ,31 46 ,29 34 ,27 ,33 O 
Donihue ,,0 0 O 0 ,1 0 0 1 ,1 5 ,12 ,16 ,14 11 ,20 ,32 ,68 ,59 ,56 ,44 ,35 21 ,26 21 ,18 ,10 0 
Graneros ,,0 O O 1 ,O O O O ,3 7 ,14 ,21 ,24 25 ,33 ,51 ,65 ,67 ,59 ,47 ,33 11 ,17 39 ,45 ,11 O 
La Estrella ,,0 0 O O ,O O 0 O ,O O ,O ,O ,O 1 ,4 ,6 ,2 ,12 ,6 ,0 ,3 1 ,1 1 ,O ,1 O 
Las Cabras ,& ,0 0 O O ,O 0 1 2 ,4 3 ,2 ,4 ,3 5 ,9 ,17 ,30 ,43 ,28 ,29 ,16 14 ,29 37 ,61 ,13 0 
Litueche ,,O O O O ,O O O 1 ,5 2 ,2 ,3 ,O 1 ,6 ,15 ,21 ,8 ,6 ,3 ,2 6 ,4 5 ,4 ,O O 
Lolol ,,0 O O O ,O O O O ,O O ,1 ,2 ,1 11 ,5 ,7 ,5 ,13 ,1 ,O ,O O ,6 6 ,3 ,2 O 
Machali ,,0 0 1 4 ,1 O 4 O ,5 5 ,9 ,18 ,24 36 ,56 ,105 ,225 ,196 ,120 ,62 ,54 34 ,36 21 ,21 ,10 O 
