,Hospitalizados,,Sin,Hospitalizacion
Comorbilidades ,No ,% ,No ,% 
Hipertension Arterial ,12014 ,32.0 ,44497 ,11.3 
Diabetes ,7505 ,20.0 ,21714 ,5.5 
Otra ,4930 ,13.1 ,23262 ,5.9 
Obesidad ,2599 ,6.9 ,11417 ,2.9 
Enfermedad Renal Cronica ,1622 ,4.3 ,1961 ,0.5 
Enfermedad Cardiovascular ,1491 ,4.0 ,2699 ,0.7 
Cardiopatia Cronica ,1487 ,4.0 ,2216 ,0.6 
Enfermedad Pulmonar Cronica ,1422 ,3.8 ,2546 ,0.6 
Asma ,1242 ,3.3 ,11057 ,2.8 
Enfermedad Neurologica Cronica ,963 ,2.6 ,1403 ,0.4 
Inmunocomprometido ,914 ,2.4 ,1780 ,0.5 
Enfermedad Hepatica Cronica ,400 ,1.1 ,328 ,0.1 
