Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasesActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Bulnes ,22607 ,607 ,2685.0 ,60 ,265.4 ,60 ,265.4 
Chillan ,& 198624 ,2682 ,1350.3 ,456 ,229.6 ,456 ,229.6 
Chillan Viejo ,& 33827 ,443 ,1309.6 ,87 ,257.2 ,87 ,257.2 
Cobquecura ,5275 ,20 ,379.1 ,O ,0.0 ,O ,0.0 
Coelemu ,& 16845 ,99 ,587.7 ,6 ,35.6 ,6 ,35.6 
Coihueco ,28375 ,286 ,1007.9 ,28 ,98.7 ,28 ,98.7 
EI Carmen ,12334 ,141 ,1143.2 ,29 ,235.1 ,29 ,235.1 
Ninhue ,5414 ,55 ,1015.9 ,O ,0.0 ,0 ,0.0 
Niquen ,11567 ,147 ,1270.9 ,13 ,112.4 ,13 ,112.4 
Pemuco ,8639 ,124 ,1435.4 ,15 ,173.6 ,15 ,173.6 
Pinto ,11880 ,83 ,698.7 ,6 ,50.5 ,6 ,50.5 
Portezuelo ,4940 ,32 ,647.8 ,9 ,182.2 ,9 ,182.2 
Quillon ,18777 ,264 ,1406.0 ,56 ,298.2 ,56 ,298.2 
Quirihue ,& 12192 ,132 ,1082.7 ,11 ,90.2 ,11 ,90.2 
Ranquil ,6261 ,56 ,894.4 ,2 ,31.9 ,2 ,31.9 
San Carlos ,56252 ,618 ,1098.6 ,63 ,112.0 ,63 ,112.0 
San Fabian ,4654 ,19 ,408.3 ,3 ,64.5 ,3 ,64.5 
San Ignacio ,16624 ,191 ,1148.9 ,9 ,54.1 ,9 ,54.1 
San Nicolas ,12172 ,158 ,1298.1 ,15 ,123.2 ,15 ,123.2 
Treguaco ,5696 ,45 ,790.0 ,22 ,386.2 ,22 ,386.2 
Yungay ,18596 ,157 ,844.3 ,5 ,26.9 ,5 ,26.9 
Desconocido ,& - ,11 ,- ,9 ,-- ,9 ,- 
Total ,511551 ,6370 ,1245.2 ,904 ,176.7 ,904 ,176.7 
