Angol,,,,,Carahue,,Cholchol,,,,Collipull,,,,
15 ,,,,6 ,,,3 ,,,,10 ,,,,
10 ,,,,4 ,,,2 ,,,,,,,,
5 ,,,,2 ,,,1 ,,,,5 ,,,,
0 ,I ,,,0 ,,,0 ,,,,0 ,I ,,,I 
mar ,abr may ,jun jul ,ago ,sept mar ,abr may ,jun jul ago ,sept mar ,abr may jun ,jul ,ago sept ,mar ,abr ,may ,jun jul ,ago sept 
Cunco ,,,,,Curacautin ,,,Curarrehue ,,,Ercilla ,,,,
6 ,,,,3 ,,,100 ,,,,9 ,,,,
4 ,,,,2 ,,,075 ,,,,,,,,
,,,,1 ,,,050 ,,,,6 ,,,,
2 0 ,II ,,,I 0 ,,,025 000 ,,,,3 0 ,II ,I ,II I ILI ,ii IIL 
mar ,abr may ,jun jul ,ago ,sept mar ,abr may ,jun jul ago ,sept ,mar abr may jun ,jul ,ago sept ,mar ,abr ,may ,jun jul ,ago sept 
Freire ,,,,,Galvarino ,,Gorbea ,,,,Lautaro ,,,,
,,,,,,,3 ,,,,8 ,,,,
75 50 ,,,,9 6 ,,,2 ,,,,6 4 ,,,,
25 00 ,III ,I ,IT ,3 I I 0 ,I ,I ,1 0 ,,,,2 0 ,,,II ,
mar ,abr may ,jun jul ,ago ,sept mar ,abr may ,jun jul ago ,sept mar ,abr may jun ,jul ,ago sept ,mar ,abr ,may ,jun jul ,ago sept 
Loncoche ,,,,,Lonquimay ,,Los ,Sauces ,,,Lumaco ,,,,
,,,,125 100 ,,,100 ,,,,3 ,,,,
9 ,,,,,,,75 ,,,,2 ,,,,
6 ,,,,75 50 ,,,50 ,,,,,,,,
3 ,,,,25 ,,,25 ,,,I ,1 ,,,,
,ul ,LLllL I ,I I ,I 00 ,,,LI 00 ,I LIIIIII ,,II ,0 ,,,,
