Maipu,&,578605,15647,2704.3,293,50.6,292,50.5
Maria Pinto ,& ,14926 ,410 ,2746.9 ,6 ,40.2 ,6 ,40.2 
Melipilla ,& ,141612 ,4168 ,2943.3 ,118 ,83.3 ,118 ,83.3 
Nunoa ,& ,250192 ,5850 ,2338.2 ,134 ,53.6 ,134 ,53.6 
Padre Hurtado ,,74188 ,2283 ,3077.3 ,32 ,43.1 ,32 ,43.1 
Paine ,& ,82766 ,2138 ,2583.2 ,104 ,125.7 ,104 ,125.7 
Pedro Aguirre Cerda ,& ,107803 ,4569 ,4238.3 ,77 ,71.4 ,75 ,69.6 
Penaflor ,& ,101058 ,3126 ,3093.3 ,68 ,67.3 ,66 ,65.3 
Penalolen ,& ,266798 ,12277 ,4601.6 ,169 ,63.3 ,169 ,63.3 
Pirque ,& ,30433 ,1173 ,3854.4 ,21 ,69.0 ,21 ,69.0 
Providencia ,& ,157749 ,3421 ,2168.6 ,49 ,31.1 ,49 ,31.1 
Pudahuel ,& ,253139 ,10505 ,4149.9 ,196 ,77.4 ,196 ,77.4 
Puente Alto ,& ,645909 ,24873 ,3850.9 ,641 ,99.2 ,639 ,98.9 
Quilicura ,& ,254694 ,9639 ,3784.5 ,178 ,69.9 ,177 ,69.5 
Quinta Normal ,& ,136368 ,6473 ,4746.7 ,138 ,101.2 ,138 ,101.2 
Recoleta ,& ,190075 ,8911 ,4688.1 ,143 ,75.2 ,141 ,74.2 
Renca ,& ,160847 ,9397 ,5842.2 ,221 ,137.4 ,221 ,137.4 
San Bernardo ,& ,334836 ,11814 ,3528.3 ,175 ,52.3 ,174 ,52.0 
San Joaquin ,& ,103485 ,5302 ,5123.4 ,111 ,107.3 ,111 ,107.3 
San Jose de Maipo ,,18644 ,706 ,3786.7 ,13 ,69.7 ,13 ,69.7 
San Migue ,& ,133059 ,5558 ,4177.1 ,84 ,63.1 ,83 ,62.4 
San Pedro ,,11953 ,254 ,2125.0 ,4 ,33.5 ,4 ,33.5 
San Ramon ,& ,86510 ,4683 ,5413.2 ,60 ,69.4 ,60 ,69.4 
Santiago ,& ,503147 ,15604 ,3101.3 ,258 ,51.3 ,257 ,51.1 
Talagante ,& ,81838 ,1840 ,2248.3 ,35 ,42.8 ,35 ,42.8 
Tiltil ,,21477 ,618 ,2877.5 ,9 ,41.9 ,9 ,41.9 
Vitacura ,& ,96774 ,1634 ,1688.5 ,20 ,20.7 ,20 ,20.7 
Desconocido ,& ,- ,14929 ,- ,180 ,- ,180 ,- 
Total ,,8125072 ,308641 ,3798.6 ,5989 ,73.7 ,5965 ,73.4 
