Penco,&49865,1073,2151.8,149,298.8,149,298.8
Quilaco ,4179 ,32 ,765.7 ,4 ,95.7 ,4 ,95.7 
Quilleco ,& 10032 ,88 ,877.2 ,6 ,59.8 ,6 ,59.8 
San Pedro de la Paz ,& 145906 ,1652 ,1132.2 ,244 ,167.2 ,243 ,166.5 
San Rosendo ,3611 ,38 ,1052.3 ,1 ,27.7 ,1 ,27.7 
Santa Barbara ,14592 ,198 ,1356.9 ,10 ,68.5 ,10 ,68.5 
Santa Juana ,& 14779 ,159 ,1075.9 ,43 ,291.0 ,43 ,291.0 
Talcahuano ,& 158345 ,2507 ,1583.3 ,346 ,218.5 ,346 ,218.5 
Tirua ,11019 ,44 ,399.3 ,O ,0.0 ,O ,0.0 
Tome ,& 58729 ,999 ,1701.0 ,153 ,260.5 ,153 ,260.5 
Tucapel ,15205 ,179 ,1177.2 ,6 ,39.5 ,6 ,39.5 
Yumbel ,22132 ,253 ,1143.1 ,5 ,22.6 ,5 ,22.6 
Desconocido ,& - ,180 ,- ,17 ,- ,17 ,- 
Total ,1663696 ,21701 ,1304.4 ,2992 ,179.8 ,2990 ,179.7 
