Pucon,,,Puren,,,,Renaico,,,
4 ,,4 ,,,,3 ,,,,
3 2 1 ,,3 2 1 ,,,,2 1 ,,,,
III II I 0 ,,0 ,,,,0 ,,,,
may jun jul ago sept mar abr may jun ,jul ,ago sept ,mar ,abr may ,jun jul ,ago sept ,mar ,abr may ,jun jul ,ago sept 
Temuco ,,,Teodoro ,Schmidt ,,,Tolten ,,,
,,5 ,,,,,20 ,,,
30 ,,4 ,,,,,15 ,,,
20 ,,3 ,,,,,10 ,,,
10 ,,2 ,,,,,05 ,,,
0 ,,1 0 ,,,,,00 ,,,
may jun jul ago sept mar abr may jun ,jul ,ago sept ,mar ,abr may ,jun jul ,ago sept ,mar ,abr may ,jun jul ,ago sept 
Victoria ,,,Vilcun ,,,,Villarrica ,,,
,,,,,,,,,,
75 ,,10 ,,,,6 ,,,,
50 ,,,,,,4 ,,,,
,,5 ,,,,,,,,
25 ,,,,,,2 ,,,,
IIT I 00 III ,I III ,0 ,,,,0 ,I ,III ,,I 
