ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,8320 ,3300.1 ,372 ,147.6 
Region de Tarapaca ,382773 ,12668 ,3309.5 ,339 ,88.6 
Region de Antofagasta ,691854 ,20672 ,2987.9 ,466 ,67.4 
Region de Atacama ,314709 ,6853 ,2177.6 ,409 ,130.0 
Region de Coquimbo ,836096 ,13466 ,1610.6 ,455 ,54.4 
Region de Valparaiso ,1960170 ,37363 ,1906.1 ,1226 ,62.5 
Region Metropolitana de Santiago ,8125072 ,317377 ,3906.1 ,3954 ,48.7 
Region del Libertador General Bernardo OHiggins ,991063 ,19778 ,1995.6 ,1038 ,104.7 
Region del Maule ,1131939 ,15967 ,1410.6 ,1284 ,113.4 
Region del Nuble ,511551 ,8091 ,1581.7 ,653 ,127.7 
Region del Biobio ,1663696 ,26321 ,1582.1 ,2298 ,138.1 
Region de la Araucania ,1014343 ,7002 ,690.3 ,648 ,63.9 
Region de Los Rios ,405835 ,1778 ,438.1 ,279 ,68.7 
Region de Los Lagos ,891440 ,9158 ,1027.3 ,903 ,101.3 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,302 ,281.5 ,109 ,101.6 
Region de Magallanes y la Antartica Chilena ,178362 ,7794 ,4369.8 ,1520 ,852.2 
Desconocido ,- ,54 ,- ,O ,- 
Total pais ,19458310 ,512964 ,2636.2 ,15953 ,82.0 
