Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,& ,15174 ,154 ,1014.9 ,5 ,33.0 ,5 ,33.0 
Cabildo ,& ,20663 ,464 ,2245.6 ,16 ,77.4 ,16 ,77.4 
Calera ,& ,53591 ,1434 ,2675.8 ,38 ,70.9 ,38 ,70.9 
Calle Larga ,,16482 ,326 ,1977.9 ,8 ,48.5 ,8 ,48.5 
Cartagena ,,25357 ,273 ,1076.6 ,16 ,63.1 ,16 ,63.1 
Casablanca ,& ,29170 ,496 ,1700.4 ,9 ,30.9 ,9 ,30.9 
Catemu ,,15213 ,292 ,1919.4 ,7 ,46.0 ,7 ,46.0 
Con Con ,& ,45889 ,724 ,1577.7 ,21 ,45.8 ,21 ,45.8 
EI Quisco ,& ,17742 ,295 ,1662.7 ,16 ,90.2 ,16 ,90.2 
EI Tabo ,& ,14338 ,300 ,2092.3 ,7 ,48.8 ,7 ,48.8 
Hijuelas ,& ,19099 ,349 ,1827.3 ,4 ,20.9 ,4 ,20.9 
Isla de Pascua ,& ,8277 ,9 ,108.7 ,3 ,36.2 ,3 ,36.2 
Juan Fernandez ,,1033 ,1 ,96.8 ,1 ,96.8 ,1 ,96.8 
La Cruz ,& ,25321 ,375 ,1481.0 ,9 ,35.5 ,9 ,35.5 
La Ligua ,& ,37739 ,847 ,2244.4 ,29 ,76.8 ,29 ,76.8 
Limache ,& ,49931 ,1200 ,2403.3 ,30 ,60.1 ,30 ,60.1 
Llaillay ,& ,26533 ,511 ,1925.9 ,17 ,64.1 ,17 ,64.1 
Los Andes ,& ,68093 ,1250 ,1835.7 ,42 ,61.7 ,42 ,61.7 
Nogales ,& ,23490 ,461 ,1962.5 ,10 ,42.6 ,10 ,42.6 
Olmue ,& ,19266 ,308 ,1598.7 ,2 ,10.4 ,2 ,10.4 
Panquehue ,,7633 ,127 ,1663.8 ,1 ,13.1 ,1 ,13.1 
