7550,64,,,,,,7550,,,,64,
25 00 I ,2 0 ,III ,,,,,25 00 ,,,,2 0 ,
mar abr may jun jul ago ,sept oct mar ,abr ,may jun ,jul ,ago ,sept ,oct mar abr ,may jun ,jul ago ,sept oct ,mar abr may jun ,jul ago sept oct 
Coltauco ,Donihue ,,,,,,Graneros ,,,,La Estrella ,
,15 ,,,,,,15 ,,,,4 ,
15 ,,,,,,,,,,,,
,,,,,,,,,,,3 ,
10 ,10 ,,,,,,10 ,,,,2 ,
5 ,5 ,,,,,,5 ,,,,,
0 I ,I 0 ,I ,I ,,,,0 I I ,,,,1 0 ,
mar abr may jun jul ago ,sept oct mar ,abr ,may jun ,jul ,ago ,sept ,oct mar abr ,may jun ,jul ago ,sept oct ,mar abr may jun ,jul ago sept oct 
Las Cabras ,Litueche ,,,,,,Lolol ,,,,Machali ,
,,,,,,,6 ,,,,40 ,
,6 ,,,,,,,,,,,
10 ,4 ,,,,,,4 ,,,,30 ,
5 ,,,,,,,2 ,,,,20 ,
,2 ,,,,,,,,,,10 ,
0 ,0 ,,I ,,IIII ,I ,0 ,,,,0 ,
mar abr may jun jul ago ,sept oct mar ,abr ,may jun ,jul ,ago ,sept ,oct mar abr ,may jun ,jul ago ,sept oct ,mar abr may jun ,jul ago sept oct 
Malloa ,Marchihue ,,,,,,Mostazal ,,,,Nancagua ,
