Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Biobio ,6775 ,183 ,2701.1 ,2 ,29.5 ,2 ,29.5 
Antuco ,4306 ,76 ,1765.0 ,O ,0.0 ,0 ,0.0 
Arauco ,& 38679 ,695 ,1796.8 ,52 ,134.4 ,52 ,134.4 
Cabrero ,& 30725 ,256 ,833.2 ,13 ,42.3 ,13 ,42.3 
Canete ,& 37003 ,305 ,824.3 ,26 ,70.3 ,26 ,70.3 
Chiguayante ,& 91180 ,1612 ,1767.9 ,183 ,200.7 ,183 ,200.7 
Concepcion ,& 238092 ,4157 ,1746.0 ,319 ,134.0 ,318 ,133.6 
Contulmo ,6330 ,66 ,1042.7 ,4 ,63.2 ,4 ,63.2 
Coronel ,& 125829 ,2796 ,2222.1 ,328 ,260.7 ,327 ,259.9 
Curanilahue ,& 33892 ,688 ,2030.0 ,175 ,516.3 ,174 ,513.4 
Florida ,& 11841 ,144 ,1216.1 ,15 ,126.7 ,15 ,126.7 
Hualpen ,& 97273 ,1833 ,1884.4 ,109 ,112.1 ,109 ,112.1 
Hualqui ,& 26201 ,513 ,1957.9 ,30 ,114.5 ,30 ,114.5 
Laja ,23873 ,224 ,938.3 ,9 ,37.7 ,9 ,37.7 
Lebu ,& 27100 ,223 ,822.9 ,83 ,306.3 ,83 ,306.3 
LOs Alamos ,& 22524 ,327 ,1451.8 ,40 ,177.6 ,40 ,177.6 
Los Angeles ,& 218515 ,1736 ,794.5 ,113 ,51.7 ,113 ,51.7 
Lota ,& 45750 ,912 ,1993.4 ,140 ,306.0 ,139 ,303.8 
Mulchen ,31041 ,336 ,1082.4 ,24 ,77.3 ,24 ,77.3 
Nacimiento ,& 27944 ,296 ,1059.3 ,17 ,60.8 ,17 ,60.8 
Negrete ,& 10429 ,203 ,1946.5 ,2 ,19.2 ,2 ,19.2 
