,Hospitalizados,,Sin,Hospitalizacion
Comorbilidades ,N ,% ,N ,% 
Hipertension Arterial ,15307 ,32.8 ,49407 ,11.0 
Diabetes ,9493 ,20.3 ,24107 ,5.4 
Otra ,6217 ,13.3 ,26731 ,5.9 
Obesidad ,3243 ,7.0 ,12546 ,2.8 
Enfermedad Renal Cronica ,2107 ,4.5 ,2073 ,0.5 
Cardiopatia Cronica ,1873 ,4.0 ,2447 ,0.5 
Enfermedad Cardiovascular ,1863 ,4.0 ,2892 ,0.6 
Enfermedad Pulmonar Cronica ,1781 ,3.8 ,2801 ,0.6 
Asma ,1584 ,3.4 ,12631 ,2.8 
Enfermedad Neurologica Cronica ,1154 ,2.5 ,1531 ,0.3 
Inmunocomprometido ,1081 ,2.3 ,1940 ,0.4 
Enfermedad Hepatica Cronica ,494 ,1.1 ,349 ,0.1 
