,SESESESESE,SESE,SESESESE,SESESE,SESE,SE,SE,SE,SESE,SE,SE,SE,SESE
Comuna ,9 10 11 12 13 ,14 15 ,16 17 18 19 ,20 21 22 ,23 ,24 25 ,26 ,27 ,28 29 ,30 ,31 ,32 ,33 34 
Alto del Carmen ,O O O O O ,O O ,O O O ,O O O 1 ,3 1 ,1 ,1 ,1 ,2 1 ,O ,O ,6 ,12 O 
Caldera ,& O O O O O ,O O ,O O 2 ,2 1 1 4 ,2 7 ,5 ,14 ,7 ,6 19 ,19 ,25 ,55 ,22 O 
Chanaral ,O O O O O ,O O ,O O O O ,O 1 O ,2 6 ,12 ,2 ,4 ,9 6 ,12 ,9 ,9 ,9 O 
Copiapo ,& O O 2 O 3 ,1 4 ,O 12 28 27 ,14 26 58 ,115 121 ,146 ,155 ,175 ,197 299 ,508 ,649 ,626 ,196 O 
Diego de Almagro ,& 1 O O O 1 ,O O ,O O 1 1 ,4 3 6 ,3 9 ,4 ,2 ,10 ,5 1 ,5 ,1 ,9 ,24 O 
Freirina ,& O O O O O ,O O ,1 O O ,O O O O ,2 1 ,5 ,3 ,10 ,23 4 ,4 ,7 ,21 ,15 O 
Huasco ,& O O O O O ,O O ,O O 1 ,O O O 2 ,6 3 ,4 ,6 ,3 ,O 1 ,8 ,6 ,2 ,6 O 
Tierra Amarilla ,O O O O O ,2 3 ,O 2 5 ,10 2 O 1 ,10 15 ,11 ,5 ,14 ,22 23 ,39 ,48 ,49 ,17 O 
Vallenar ,& O O O O O ,O 1 ,8 12 10 ,13 3 6 16 ,27 55 ,66 ,53 ,73 ,60 34 ,33 ,36 ,36 ,34 O 
Desconocido ,& O O O O O ,O O ,O O O ,O O O O ,O O ,9 ,1 ,2 ,1 3 ,2 ,O ,11 ,2 O 
Total ,1 0 2 0 4 ,3 8 ,9 26 47 53 ,24 37 88 ,170 218 ,263 ,242 ,299 ,325 391 ,630 ,781 ,824 ,337 0 
