Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,11791 ,64 ,542.8 ,1 ,8.5 ,6 ,50.9 ,6 ,50.9 
Canela ,9546 ,42 ,440.0 ,2 ,21.0 ,14 ,146.7 ,14 ,146.7 
Combarbala ,13884 ,41 ,295.3 ,O ,0.0 ,3 ,21.6 ,3 ,21.6 
Coquimbo ,& 256735 ,3272 ,1274.5 ,27 ,10.5 ,418 ,162.8 ,417 ,162.4 
Illape ,& 32801 ,353 ,1076.2 ,2 ,6.1 ,20 ,61.0 ,20 ,61.0 
La Higuera ,4450 ,92 ,2067.4 ,0 ,0.0 ,16 ,359.6 ,16 ,359.6 
La Serena ,& 249656 ,2753 ,1102.7 ,33 ,13.2 ,309 ,123.8 ,308 ,123.4 
Los Vilos ,& 23374 ,173 ,740.1 ,3 ,12.8 ,31 ,132.6 ,31 ,132.6 
Monte Patria ,& 32527 ,320 ,983.8 ,4 ,12.3 ,36 ,110.7 ,36 ,110.7 
Ovalle ,& 121269 ,1612 ,1329.3 ,22 ,18.1 ,248 ,204.5 ,248 ,204.5 
Paiguano ,4675 ,12 ,256.7 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Punitaqui ,12165 ,111 ,912.5 ,5 ,41.1 ,15 ,123.3 ,15 ,123.3 
Rio Hurtado ,4372 ,41 ,937.8 ,O ,0.0 ,10 ,228.7 ,10 ,228.7 
Salamanca ,& 29110 ,168 ,577.1 ,2 ,6.9 ,11 ,37.8 ,11 ,37.8 
Vicuna ,29741 ,168 ,564.9 ,1 ,3.4 ,19 ,63.9 ,19 ,63.9 
Desconocido ,& - ,142 ,- ,0 ,- ,11 ,- ,11 ,- 
Total ,836096 ,9364 ,1120.0 ,102 ,12.2 ,1167 ,139.6 ,1165 ,139.3 
