,,,,Casos,Acumulados,,,,,,
Zona de Chile ,Poblacion ,Confirmados Notificados ,Confirmados No Notificados ,Probables ,Confirmados correspondientes a BAC ,% Confirmados correspondientes a BAC ,Total ,Casos Fallecidos' ,Tasa incidencia acumulada ,Tasa mortalidad acumulada ,Tasa Letalidad 
Region de Arica y Parinacota ,252110 ,5824 ,24 ,306 ,210 ,3.4% ,6154 ,87 ,2441.0 ,34.5 ,1.4% 
Region de Tarapaca ,382773 ,9541 ,430 ,533 ,751 ,7.1% ,10504 ,184 ,2744.2 ,48.1 ,1.8% 
Region de Antofagasta ,691854 ,16644 ,262 ,795 ,832 ,4.7% ,17701 ,416 ,2558.5 ,60.1 ,2.4% 
Region de Atacama ,314709 ,4649 ,31 ,76 ,778 ,16.4% ,4756 ,27 ,1511.2 ,8.6 ,0.6% 
Region de Coquimbo ,836096 ,8173 ,141 ,895 ,429 ,4.7% ,9209 ,98 ,1101.4 ,11.7 ,1.1% 
Region de Valparaiso ,1960170 ,20042 ,391 ,7372 ,738 ,2.7% ,27805 ,641 ,1418.5 ,32.7 ,2.3% 
Region Metropolitana de Santiago ,8125072 ,250487 ,16169 ,29963 ,5564 ,1.9% ,296619 ,8395 ,3650.7 ,103.3 ,2.8% 
Region del Libertador General Bernardo OHiggins ,991063 ,12147 ,85 ,2216 ,580 ,4.0% ,14448 ,300 ,1457.8 ,30.3 ,2.1% 
Region de Maule ,1131939 ,10443 ,9 ,717 ,207 ,1.9% ,11169 ,220 ,986.7 ,19.4 ,2.0% 
Region del Nuble ,511551 ,3994 ,3 ,916 ,168 ,3.4% ,4913 ,73 ,960.4 ,14.3 ,1.5% 
Region del Biobio ,1663696 ,14049 ,198 ,1598 ,466 ,2.9% ,15845 ,156 ,952.4 ,9.4 ,1.0% 
Region de la Araucania ,1014343 ,4660 ,2 ,57 ,273 ,5.8% ,4719 ,82 ,465.2 ,8.1 ,1.7% 
Region de Los Rios ,405835 ,1006 ,7 ,16 ,36 ,3.5% ,1029 ,14 ,253.6 ,3.4 ,1.4% 
Region de Los Lagos ,891440 ,5538 ,51 ,327 ,635 ,10.7% ,5916 ,57 ,663.6 ,6.4 ,1.0% 
Region de Aysen del General Carlos ibanez del Campo ,107297 ,98 ,0 ,0 ,4 ,4.1% ,98 ,0 ,91.3 ,0.0 ,0.0% 
Region de Magallanes y la Antartica Chilena ,178362 ,2268 ,71 ,31 ,107 ,4.5% ,2370 ,30 ,1328.8 ,16.8 ,1.3% 
Desconocida* ,- ,- ,65 ,- ,- ,,65 ,O ,- ,,0.0% 
Total pais ,19458310 ,369563 ,17939 ,45818 ,11778 ,2.7% ,433320 ,10780 ,2226.9 ,55.4 ,2.5% 
