LoPrado,&,104403,4983,4772.9,142,136.0,132,126.4,132,126.4
Macul ,& ,134635 ,5037 ,3741.2 ,159 ,118.1 ,90 ,66.8 ,88 ,65.4 
Maipu ,& ,578605 ,14872 ,2570.3 ,401 ,69.3 ,332 ,57.4 ,330 ,57.0 
Maria Pinto ,& ,14926 ,386 ,2586.1 ,7 ,46.9 ,14 ,93.8 ,14 ,93.8 
Melipilla ,& ,141612 ,3930 ,2775.2 ,117 ,82.6 ,107 ,75.6 ,106 ,74.9 
Nunoa ,& ,250192 ,5587 ,2233.1 ,251 ,100.3 ,134 ,53.6 ,133 ,53.2 
Padre Hurtado ,& ,74188 ,2189 ,2950.6 ,52 ,70.1 ,46 ,62.0 ,46 ,62.0 
Paine ,& ,82766 ,1949 ,2354.8 ,45 ,54.4 ,80 ,96.7 ,80 ,96.7 
Pedro Aguirre Cerda ,& ,107803 ,4403 ,4084.3 ,209 ,193.9 ,75 ,69.6 ,75 ,69.6 
Penaflor ,& ,101058 ,2915 ,2884.5 ,115 ,113.8 ,76 ,75.2 ,76 ,75.2 
Penalolen ,& ,266798 ,11871 ,4449.4 ,317 ,118.8 ,176 ,66.0 ,175 ,65.6 
Pirque ,,30433 ,1129 ,3709.8 ,29 ,95.3 ,33 ,108.4 ,33 ,108.4 
Providencia ,& ,157749 ,3286 ,2083.1 ,157 ,99.5 ,84 ,53.2 ,83 ,52.6 
Pudahuel ,& ,253139 ,9945 ,3928.7 ,245 ,96.8 ,197 ,77.8 ,196 ,77.4 
Puente Alto ,& ,645909 ,23580 ,3650.7 ,580 ,89.8 ,652 ,100.9 ,650 ,100.6 
Quilicura ,& ,254694 ,9227 ,3622.8 ,153 ,60.1 ,174 ,68.3 ,173 ,67.9 
Quinta Normal ,& ,136368 ,6182 ,4533.3 ,172 ,126.1 ,189 ,138.6 ,189 ,138.6 
Recoleta ,& ,190075 ,8584 ,4516.1 ,301 ,158.4 ,161 ,84.7 ,161 ,84.7 
Renca ,& ,160847 ,8814 ,5479.7 ,246 ,152.9 ,301 ,187.1 ,301 ,187.1 
San Bernardo ,& ,334836 ,11321 ,3381.1 ,332 ,99.2 ,238 ,71.1 ,238 ,71.1 
San Joaquin ,& ,103485 ,5065 ,4894.4 ,156 ,150.7 ,104 ,100.5 ,104 ,100.5 
San Jose de Maipo ,& ,18644 ,684 ,3668.7 ,20 ,107.3 ,10 ,53.6 ,10 ,53.6 
San Miguel ,& ,133059 ,5276 ,3965.2 ,141 ,106.0 ,120 ,90.2 ,118 ,88.7 
San Pedro ,,11953 ,245 ,2049.7 ,4 ,33.5 ,17 ,142.2 ,17 ,142.2 
San Ramon ,,86510 ,4543 ,5251.4 ,165 ,190.7 ,65 ,75.1 ,65 ,75.1 
Santiago ,& ,503147 ,15052 ,2991.6 ,280 ,55.6 ,224 ,44.5 ,224 ,44.5 
Talagante ,& ,81838 ,1763 ,2154.3 ,63 ,77.0 ,69 ,84.3 ,69 ,84.3 
Tiltil ,& ,21477 ,591 ,2751.8 ,13 ,60.5 ,23 ,107.1 ,23 ,107.1 
Vitacura ,& ,96774 ,1562 ,1614.1 ,61 ,63.0 ,41 ,42.4 ,41 ,42.4 
Desconocido ,& ,- ,15951 ,- ,0 ,- ,155 ,- ,155 ,- 
Total ,,8125072 ,295864 ,3641.4 ,8372 ,103.0 ,6465 ,79.6 ,6442 ,79.3 
