Nunoa,&1128,54,44,48,48,70,73,154,372,543,760,664,655,553,382,313,208,185,86,91,106,94,54O
Padre Hurtado ,& 0 1 O ,5 ,10 ,5 ,13 ,9 ,16 ,62 ,99 ,172 ,251 ,232 ,282 ,234 ,189 ,174 ,122 ,107 ,49 ,68 ,39 ,30 ,20 O 
Paine ,& 0 1 O ,3 ,O ,4 ,7 ,3 ,5 ,29 ,84 ,86 ,133 ,152 ,274 ,237 ,210 ,195 ,182 ,109 ,65 ,50 ,31 ,65 ,24 O 
Pedro Aguirre Cerda ,& 0 O 3 ,7 ,15 ,26 ,47 ,32 ,75 ,178 ,365 ,429 ,402 ,511 ,579 ,431 ,342 ,239 ,222 ,145 ,105 ,88 ,80 ,63 ,19 O 
Penaflor ,& 1 1 5 ,3 ,9 ,6 ,10 ,16 ,27 ,59 ,108 ,213 ,308 ,316 ,339 ,319 ,317 ,206 ,154 ,212 ,78 ,66 ,60 ,51 ,31 O 
Penalolen ,& 1 3 9 ,30 ,37 ,40 ,52 ,71 ,122 ,412 ,989 ,1339 ,1655 ,1598 ,1437 ,1108 ,846 ,579 ,450 ,325 ,202 ,201 ,171 ,129 ,65 0 
Pirque ,O 1 3 ,1 ,3 ,1 ,5 ,5 ,16 ,39 ,60 ,82 ,160 ,153 ,116 ,115 ,83 ,76 ,75 ,37 ,20 ,17 ,25 ,24 ,12 O 
Providencia ,& 0 3 29 ,63 ,22 ,25 ,35 ,41 ,41 ,96 ,284 ,328 ,405 ,430 ,294 ,239 ,208 ,180 ,156 ,119 ,68 ,61 ,66 ,70 ,23 O 
Pudahuel ,& 1 1 2 ,19 ,28 ,37 ,43 ,48 ,141 ,366 ,679 ,1034 ,1301 ,1273 ,1321 ,869 ,744 ,508 ,370 ,328 ,262 ,189 ,167 ,133 ,81 0 
Puente Alto ,& 2 4 12 ,65 ,107 ,185 ,209 ,333 ,385 ,862 ,1588 ,2235 ,2595 ,2606 ,2838 ,2394 ,1894 ,1446 ,1044 ,720 ,538 ,359 ,454 ,394 ,311 0 
Quilicura ,& 0 3 3 ,21 ,30 ,46 ,46 ,143 ,334 ,553 ,828 ,971 ,901 ,1046 ,1109 ,897 ,663 ,412 ,329 ,237 ,171 ,159 ,138 ,125 ,62 O 
Quinta Normal ,& 1 2 6 ,14 ,27 ,40 ,50 ,53 ,99 ,268 ,466 ,592 ,714 ,776 ,677 ,546 ,422 ,329 ,255 ,246 ,108 ,128 ,158 ,129 ,76 O 
Recoleta ,& 0 0 7 ,14 ,17 ,41 ,46 ,117 ,284 ,745 ,1186 ,1147 ,999 ,879 ,782 ,589 ,511 ,305 ,251 ,179 ,99 ,122 ,92 ,110 ,62 0 
Renca ,& 0 0 5 ,7 ,11 ,8 ,36 ,68 ,111 ,297 ,631 ,747 ,852 ,798 ,868 ,807 ,892 ,612 ,492 ,414 ,305 ,286 ,245 ,242 ,80 O 
San Bernardo ,& 0 1 6 ,24 ,42 ,68 ,78 ,125 ,157 ,346 ,664 ,900 ,1078 ,1303 ,1414 ,1253 ,1074 ,831 ,585 ,417 ,256 ,233 ,205 ,187 ,74 O 
San Joaquin ,& 0 O 1 ,18 ,23 ,15 ,34 ,44 ,84 ,229 ,504 ,652 ,470 ,498 ,569 ,475 ,348 ,270 ,202 ,191 ,154 ,85 ,90 ,72 ,37 0 
San Jose de Maipo ,& 0 O 1 ,1 ,2 ,2 ,3 ,1 ,4 ,22 ,52 ,57 ,92 ,67 ,78 ,62 ,43 ,43 ,27 ,32 ,15 ,38 ,31 ,8 ,3 O 
San Miguel ,& 1 1 3 ,27 ,24 ,28 ,47 ,49 ,80 ,210 ,454 ,521 ,624 ,586 ,642 ,467 ,432 ,257 ,214 ,166 ,123 ,65 ,122 ,90 ,43 O 
San Pedro ,O 0 O ,O ,O ,O ,0 ,2 ,10 ,7 ,9 ,16 ,16 ,21 ,27 ,11 ,33 ,29 ,19 ,12 ,6 ,2 ,8 ,8 ,9 O 
San Ramon ,0 O 1 ,3 ,11 ,11 ,13 ,42 ,90 ,249 ,456 ,558 ,534 ,462 ,550 ,415 ,300 ,197 ,183 ,163 ,101 ,74 ,59 ,50 ,21 O 
Santiago ,& 1 3 31 ,100 ,107 ,151 ,168 ,176 ,393 ,951 ,1716 ,1723 ,1875 ,1629 ,1472 ,1192 ,985 ,631 ,504 ,424 ,240 ,188 ,155 ,158 ,79 O 
Talagante ,& 0 0 O ,4 ,8 ,7 ,3 ,10 ,10 ,44 ,58 ,99 ,122 ,153 ,185 ,221 ,209 ,187 ,139 ,84 ,54 ,67 ,27 ,32 ,40 0 
Tiltil ,& O O O ,2 ,1 ,2 ,1 ,6 ,5 ,11 ,34 ,43 ,57 ,62 ,93 ,63 ,50 ,44 ,38 ,15 ,15 ,14 ,12 ,14 ,9 O 
Vitacura ,& 0 6 32 ,50 ,29 ,14 ,7 ,5 ,13 ,55 ,162 ,216 ,188 ,152 ,139 ,102 ,96 ,81 ,52 ,32 ,30 ,25 ,34 ,24 ,18 O 
Desconocido ,& O O 6 ,10 ,19 ,54 ,177 ,364 ,562 ,713 ,1416 ,2179 ,2421 ,1685 ,1360 ,1364 ,1434 ,866 ,479 ,298 ,169 ,105 ,113 ,73 ,84 O 
Total ,15 71 355 ,1042 ,1149 ,1483 ,1927 ,2912 ,5347 ,12535 ,23539 ,30600 ,34131 ,33575 ,33763 ,27613 ,23036 ,16590 ,12559 ,9637 ,6484 ,5381 ,5083 ,4611 ,2425 0 
