Peumo,&14952,105,702.2,7,46.8,21,140.4,20,133.8
Pichidegua ,& 20743 ,275 ,1325.7 ,5 ,24.1 ,56 ,270.0 ,56 ,270.0 
Pichilemu ,17882 ,55 ,307.6 ,O ,0.0 ,1 ,5.6 ,1 ,5.6 
Placilla ,9164 ,73 ,796.6 ,O ,0.0 ,9 ,98.2 ,9 ,98.2 
Pumanque ,3531 ,5 ,141.6 ,1 ,28.3 ,1 ,28.3 ,1 ,28.3 
Quinta de Tilcoco ,13877 ,130 ,936.8 ,4 ,28.8 ,6 ,43.2 ,6 ,43.2 
Rancagua ,& 265211 ,6149 ,2318.5 ,125 ,47.1 ,323 ,121.8 ,321 ,121.0 
Rengo ,& 63710 ,1182 ,1855.3 ,31 ,48.7 ,88 ,138.1 ,88 ,138.1 
Requinoa ,30371 ,436 ,1435.6 ,8 ,26.3 ,21 ,69.1 ,21 ,69.1 
San Fernando ,& 78642 ,631 ,802.4 ,9 ,11.4 ,106 ,134.8 ,106 ,134.8 
San Vicente ,50617 ,658 ,1300.0 ,12 ,23.7 ,115 ,227.2 ,115 ,227.2 
Santa Cruz ,& 41096 ,285 ,693.5 ,7 ,17.0 ,53 ,129.0 ,53 ,129.0 
Desconocido ,& - ,85 ,- ,O ,- ,1 ,- ,1 ,- 
Total ,991063 ,14665 ,1479.7 ,300 ,30.3 ,1163 ,117.3 ,1160 ,117.0 
,,,,,,,,,
,SE SE SE SE ,SE SE SE ,SE SE SE SE ,SE SE SE ,SE SE ,SE SE ,SE SE ,SE SE SE ,SE SE SE 
Comuna ,9 10 11 12 ,13 14 15 ,16 17 18 19 ,20 21 22 ,23 24 ,25 26 ,27 28 ,29 30 31 ,32 33 34 
Chepica ,1 O O O ,O O O ,O O O 1 ,6 O 4 ,6 22 ,18 20 ,16 26 ,17 13 2 ,5 8 O 
Chimbarongo ,0 0 0 2 ,1 O O ,0 1 1 5 ,13 9 7 ,12 18 ,19 29 ,22 16 ,16 14 16 ,7 2 O 
Codegua ,0 O O 1 ,O O O ,O O O 1 ,3 7 10 ,13 17 ,21 34 ,24 27 ,29 23 10 ,9 13 O 
Coinco ,& O O O O ,O O O ,O 1 O 4 ,11 8 3 ,5 7 ,20 9 ,15 12 ,11 4 10 ,7 2 O 
Coltauco ,& O 0 O 0 ,O O O ,O O 0 15 ,9 13 4 ,4 9 ,20 22 ,17 26 ,31 46 29 ,34 16 0 
Donihue ,& 0 0 O O ,1 0 O ,1 1 5 12 ,16 14 11 ,20 32 ,68 59 ,56 44 ,35 21 26 ,20 9 0 
Graneros ,0 0 O 1 ,O O O ,O 3 7 14 ,21 24 25 ,33 51 ,65 67 ,59 47 ,32 10 17 ,38 26 0 
La Estrella ,O O O 0 ,O O O ,O O O 0 ,O O 1 ,4 6 ,2 12 ,6 O ,3 1 1 ,1 O 0 
Las Cabras ,0 O O O ,O O 1 ,2 4 3 2 ,4 3 5 ,9 17 ,29 42 ,28 29 ,16 14 28 ,33 20 0 
Litueche ,0 0 O 0 ,O 0 0 ,1 5 2 2 ,3 0 1 ,6 15 ,21 8 ,6 3 ,2 6 4 ,5 4 O 
