SagradaFamilia,&19469,118,606.1,1,5.1,13,66.8,13,66.8
San Clemente ,& 46292 ,601 ,1298.3 ,11 ,23.8 ,59 ,127.5 ,59 ,127.5 
San Javier ,& 49451 ,534 ,1079.9 ,13 ,26.3 ,33 ,66.7 ,33 ,66.7 
San Rafael ,9959 ,146 ,1466.0 ,O ,0.0 ,15 ,150.6 ,15 ,150.6 
Talca ,& 236724 ,2258 ,953.9 ,36 ,15.2 ,208 ,87.9 ,208 ,87.9 
Teno ,30850 ,318 ,1030.8 ,5 ,16.2 ,34 ,110.2 ,34 ,110.2 
Vichuquen ,4381 ,6 ,137.0 ,1 ,22.8 ,O ,0.0 ,O ,0.0 
Villa Alegre ,& 17512 ,158 ,902.2 ,3 ,17.1 ,9 ,51.4 ,8 ,45.7 
Yerbas Buenas ,& 19200 ,156 ,812.5 ,6 ,31.3 ,16 ,83.3 ,16 ,83.3 
Desconocido ,& - ,9 ,- ,0 ,- ,1 ,- ,1 ,- 
Total ,1131939 ,11310 ,999.2 ,223 ,19.7 ,911 ,80.5 ,909 ,80.3 
,,,,,,,,,
