Pelarco,OOOO,O03,2O24,5,4,56,4,3,3,3,14,2333,1641O
Pelluhue ,& 0 O O 1 ,O O 1 ,O O O 1 ,7 ,1 ,9 12 ,16 ,10 ,O ,3 ,1 ,2 5 ,3 4 2 O 
Pencahue ,0 O O O ,O 0 O ,3 O O O ,O ,8 ,4 2 ,7 ,3 ,5 ,11 ,8 ,3 2 ,1 0 O O 
Rauco ,& O O O O ,1 1 O ,1 O O 1 ,1 ,7 ,7 8 ,15 ,5 ,10 ,8 ,17 ,17 9 ,5 4 2 O 
Retiro ,0 0 O O ,O 0 1 ,O O 1 O ,1 ,17 ,42 14 ,18 ,12 ,12 ,12 ,2 ,2 8 ,12 10 5 O 
Rio Claro ,0 O O 2 ,O 1 1 ,3 2 O 2 ,2 ,2 ,8 3 ,4 ,13 ,13 ,18 ,2 ,4 14 ,9 12 1 O 
Romeral ,& O O O 1 ,2 O O ,10 0 O O ,6 ,13 ,20 25 ,36 ,58 ,34 ,13 ,7 ,17 19 ,21 15 3 O 
Sagrada Familia ,& O O O O ,O 1 O ,1 O 1 1 ,O ,3 ,7 17 ,8 ,10 ,11 ,11 ,9 ,7 5 ,10 14 2 O 
San Clemente ,& O 1 O O ,O 1 2 ,6 1 7 7 ,13 ,18 ,21 39 ,43 ,57 ,87 ,77 ,59 ,47 24 ,25 53 13 O 
San Javier ,& 0 0 O 1 ,2 7 4 ,7 4 3 7 ,8 ,9 ,22 54 ,41 ,43 ,30 ,47 ,54 ,47 73 ,38 23 10 0 
San Rafael ,O O O O ,1 O 1 ,1 O O 5 ,10 ,28 ,7 17 ,8 ,11 ,14 ,12 ,6 ,3 3 ,3 11 5 O 
Talca ,& O 3 9 13 ,19 11 15 ,73 18 13 21 ,51 ,74 ,84 170 ,207 ,267 ,249 ,226 ,140 ,121 104 ,128 168 74 O 
Teno ,0 O O 1 ,O 0 1 ,1 1 3 3 ,3 ,4 ,7 11 ,32 ,30 ,30 ,34 ,24 ,29 40 ,27 24 13 O 
Vichuquen ,0 O O O ,O 0 O ,0 0 O 0 ,O ,0 ,0 O ,0 ,O ,O ,1 ,1 ,4 O ,O 0 O O 
Villa Alegre ,& O O O O ,O O 1 ,1 O O 1 ,2 ,O ,9 18 ,9 ,11 ,15 ,23 ,12 ,30 11 ,5 5 5 O 
Yerbas Buenas ,& O O O O ,O 0 1 ,O 2 O 4 ,9 ,12 ,23 12 ,15 ,10 ,7 ,2 ,7 ,13 5 ,16 15 3 O 
Desconocido ,& 0 O O 0 ,0 0 O ,0 1 O O ,1 ,O ,1 O ,3 ,O ,O ,O ,1 ,1 O ,O O 1 O 
Total ,1 5 11 28 ,51 48 65 ,165 52 51 117 ,247 ,489 ,733 970 ,1077 ,1196 ,1068 ,963 ,837 ,769 762 ,594 708 303 0 
