,,,Numero,deCasos,segunFechade,Iniciode,Sintomas.,Notificacion,oToma,deMuestra,,,,
,,SE SE SE SE SE SE SE ,SE ,SE SE ,SE SE ,SE SE ,SE ,SE ,SE ,SE SE ,SE SE ,SE ,SE SE ,SE SE 
Region de Notificacion O Toma de Muestra ,Residencia Desconocida ,,,,,,,,,,,30 ,,
,,9 10 11 12 13 14 15 ,16 ,17 18 ,19 20 ,21 22 ,23 ,24 ,25 ,26 27 ,28 29 ,,31 32 ,33 34 
Region de Arica y Parinacota ,23 ,O O O O O O 1 ,O ,O 0 ,O O ,O O ,0 ,O ,0 ,0 0 ,0 2 ,3 ,3 10 ,4 O 
Region de Tarapaca ,427 ,O 0 0 O 0 O 1 ,0 ,1 5 ,95 29 ,25 25 ,31 ,25 ,20 ,22 16 ,20 33 ,35 ,14 17 ,13 0 
Region de Antofagasta ,261 ,0 0 O O O 0 0 ,1 ,5 0 ,1 1 ,0 0 ,5 ,10 ,41 ,30 28 ,25 24 ,21 ,27 26 ,16 0 
Region de Atacama ,31 ,O O 0 O O 0 0 ,O ,0 0 ,0 O ,0 0 ,0 ,0 ,9 ,1 2 ,1 3 ,2 ,0 11 ,2 0 
Region de Coquimbo ,142 ,0 0 0 1 0 3 1 ,1 ,1 0 ,1 3 ,10 8 ,9 ,17 ,11 ,16 10 ,18 12 ,1 ,8 7 ,4 0 
Region de Valparaiso ,389 ,O 0 O 2 3 3 1 ,1 ,0 0 ,11 8 ,6 37 ,27 ,37 ,57 ,46 51 ,25 23 ,12 ,11 12 ,16 0 
Region Metropolitana de Santiago ,15951 ,O 0 6 10 19 54 177 ,364 ,562 713 ,1416 2179 ,2421 1685 ,1360 ,1364 ,1434 ,866 479 ,298 169 ,105 ,113 73 ,84 O 
Region de Libertador General Bernardo OHiggins ,85 ,O 0 O O O 0 2 ,O ,0 0 ,1 2 ,12 O ,8 ,4 ,11 ,12 4 ,18 3 ,6 ,1 1 ,0 O 
Region de Maule ,9 ,O 0 O O O O O ,0 ,1 0 ,0 1 ,O 1 ,O ,3 ,0 ,0 0 ,1 1 ,0 ,0 0 ,1 0 
Region de Nuble ,3 ,O 0 O O O O O ,0 ,O O ,0 0 ,O 0 ,O ,0 ,0 ,0 0 ,1 0 ,O ,0 0 ,2 0 
Region del Biobio ,197 ,0 0 0 1 0 0 0 ,0 ,0 0 ,2 4 ,6 6 ,9 ,7 ,27 ,38 7 ,11 11 ,12 ,14 17 ,25 0 
Region de la Araucania ,2 ,0 0 O O 1 O 0 ,0 ,0 O ,0 0 ,0 0 ,O ,0 ,O ,0 0 ,0 0 ,0 ,0 0 ,1 0 
Region de Los Rios ,7 ,O O 1 O O 0 1 ,1 ,0 O ,0 O ,O 1 ,0 ,1 ,1 ,0 0 ,0 O ,0 ,0 1 ,0 0 
Region de Los Lagos ,72 ,O 0 9 10 3 1 O ,1 ,3 0 ,1 1 ,2 3 ,1 ,1 ,3 ,3 4 ,12 4 ,2 ,3 0 ,5 O 
Region de Aysen del General Carlos lbanez del Campo ,1 ,O O 1 O O O O ,O ,O 0 ,0 O ,O O ,O ,O ,O ,O O ,O O ,O ,O 0 ,O 0 
Region de Magallanes y la Antartica Chilena ,71 ,O 0 O 1 O 1 42 ,14 ,4 2 ,1 0 ,0 0 ,0 ,1 ,1 ,1 1 ,0 0 ,1 ,1 0 ,0 0 
Desconocido ,65 ,O O O 2 9 1 1 ,1 ,2 3 ,13 0 ,6 3 ,21 ,0 ,0 ,0 0 ,0 0 ,0 ,0 1 ,1 0 
Total pais ,17736 ,0 0 17 27 35 63 227 ,384 ,579 723 ,1542 2228 ,2488 1769 ,1471 ,1470 ,1615 ,1035 602 ,430 285 ,200 ,195 176 ,174 0 
