Comuna,Proporcioninvestigados,decasosnuevosantesde48,hrs,Proporciondecontactos,casosconidentificados,Proporciondeinvestigados,contactosantesde48hrs,nuevos
,Casos Nuevos ,Investigados ,% ,Casos con contacts ,% ,Contactos Nuevos ,Investigados ,% 
Antofagasta ,469 ,348 ,742 ,246 ,525 ,815 ,815 ,100 
Calama ,194 ,159 ,820 ,118 ,608 ,403 ,403 ,100 
Maria Elena ,5 ,4 ,800 ,4 ,800 ,8 ,8 ,100 
Mejillones ,16 ,15 ,938 ,1 ,63 ,6 ,6 ,100 
Ollague ,- ,- ,- ,- ,- ,- ,- ,- 
San Pedro de Atacama ,11 ,11 ,100 ,2 ,182 ,13 ,13 ,100 
Sierra Gorda ,1 ,1 ,100 ,1 ,100 ,2 ,2 ,100 
Taltal ,10 ,9 ,900 ,8 ,800 ,69 ,69 ,100 
Tocopilla ,8 ,6 ,750 ,6 ,750 ,38 ,38 ,100 
Total ,714 ,553 ,775 ,386 ,541 ,1354 ,1354 ,100 
