Comuna,Busquedasactivas(%),Positividad(%),CoberturaTesteo(%),Oportunidadnotificacion(%)
Alhue ,871 ,163 ,843 ,862 
Buin ,602 ,64 ,878 ,778 
Calera de Tango ,660 ,48 ,922 ,667 
Cerrillos ,561 ,73 ,892 ,100 
Cerro Navia ,697 ,76 ,874 ,780 
Colina ,308 ,63 ,875 ,769 
Conchali ,292 ,97 ,902 ,938 
Curacavi ,746 ,57 ,880 ,100 
EI Bosque ,410 ,52 ,921 ,893 
EI Monte ,516 ,100 ,914 ,893 
Estacion Central ,664 ,40 ,873 ,909 
Huechuraba ,419 ,116 ,912 ,880 
Independencia ,658 ,75 ,899 ,972 
Isla de Maipo ,846 ,31 ,826 ,100 
La Cisterna ,657 ,56 ,929 ,919 
La Florida ,581 ,53 ,819 ,908 
La Granja ,644 ,56 ,942 ,800 
La Pintana ,705 ,52 ,858 ,908 
La Reina ,524 ,59 ,792 ,912 
Lampa ,279 ,109 ,872 ,906 
Las Condes ,315 ,57 ,811 ,662 
Lo Barnechea ,572 ,59 ,926 ,462 
Lo Espejo ,687 ,47 ,966 ,979 
Lo Prado ,725 ,64 ,955 ,987 
Macu ,529 ,90 ,883 ,731 
Maipu ,556 ,60 ,887 ,920 
Maria Pinto ,684 ,105 ,807 ,917 
Melipilla ,767 ,46 ,693 ,933 
Nunoa ,532 ,65 ,817 ,927 
Padre Hurtado ,552 ,72 ,899 ,886 
Paine ,580 ,76 ,952 ,946 
Pedro Aguirre Cerda ,664 ,45 ,933 ,950 
Penaflor ,747 ,55 ,664 ,804 
Penalolen ,458 ,75 ,900 ,938 
Pirque ,713 ,35 ,916 ,100 
Providencia ,445 ,59 ,818 ,682 
Pudahuel ,693 ,69 ,790 ,920 
Puente Alto ,628 ,87 ,870 ,818 
Quilicura ,420 ,94 ,881 ,945 
Quinta Normal ,812 ,56 ,870 ,820 
Recoleta ,457 ,105 ,911 ,939 
Renca ,575 ,72 ,685 ,952 
San Bernardo ,506 ,78 ,869 ,863 
San Joaquin ,697 ,47 ,926 ,964 
San Jose de Maipo ,678 ,34 ,930 ,800 
San Miguel ,583 ,72 ,872 ,899 
San Pedro ,810 ,80 ,778 ,100 
San Ramon ,431 ,77 ,924 ,921 
Santiago ,529 ,66 ,837 ,871 
Talagante ,724 ,76 ,920 ,917 
Tiltil ,259 ,111 ,577 ,100 
Vitacura ,373 ,43 ,830 ,737 
Total ,592 ,67 ,856 ,877 
