Comuna,Proporcioninvestigados,decasosantesde,nuevos48hrs,Proporciondecontactos,casosconidentificados,Proporcioninvestigados,decontactosantesde,nuevos48hrs
,Casos Nuevos ,Investigados ,% ,Casos con Contacto ,% ,Contactos Nuevos ,Investigados ,% 
Alhue ,37 ,36 ,973 ,36 ,973 ,79 ,76 ,962 
Buin ,62 ,57 ,919 ,55 ,887 ,117 ,115 ,983 
Calera de Tango ,11 ,11 ,100 ,11 ,100 ,38 ,34 ,895 
Cerrillos ,173 ,164 ,948 ,157 ,907 ,235 ,224 ,953 
Cerro Navia ,46 ,27 ,587 ,33 ,717 ,97 ,97 ,100 
Colina ,22 ,20 ,909 ,16 ,727 ,33 ,31 ,939 
Conchali ,227 ,222 ,978 ,NR ,NR ,159 ,156 ,981 
Curacavi ,36 ,35 ,972 ,34 ,944 ,101 ,95 ,941 
EI Bosque ,57 ,57 ,100 ,57 ,100 ,162 ,162 ,100 
EI Monte ,31 ,31 ,100 ,21 ,692 ,77 ,50 ,649 
Estacion Central ,42 ,42 ,100 ,37 ,892 ,78 ,78 ,100 
Huechuraba ,58 ,34 ,586 ,34 ,586 ,251 ,138 ,550 
Independencia ,63 ,63 ,100 ,63 ,100 ,63 ,63 ,100 
Isla de Maipo ,92 ,92 ,100 ,92 ,100 ,58 ,58 ,100 
La Cisterna ,34 ,26 ,765 ,29 ,864 ,93 ,91 ,978 
La Florida ,494 ,482 ,976 ,NR ,NR ,221 ,219 ,991 
La Granja ,68 ,50 ,735 ,51 ,750 ,120 ,118 ,983 
La Pintana ,131 ,124 ,944 ,118 ,901 ,178 ,169 ,949 
La Reina ,11 ,11 ,100 ,11 ,100 ,35 ,35 ,100 
Lampa ,39 ,NR ,NR ,38 ,974 ,114 ,76 ,667 
Las Condes ,16 ,15 ,938 ,15 ,938 ,21 ,21 ,100 
Lo Barnechea ,26 ,26 ,100 ,26 ,100 ,20 ,20 ,100 
Lo Espejo ,78 ,71 ,910 ,70 ,896 ,61 ,56 ,918 
Lo Prado ,127 ,103 ,811 ,103 ,811 ,234 ,209 ,893 
Macul ,34 ,34 ,100 ,34 ,100 ,45 ,45 ,100 
Maipu ,139 ,127 ,912 ,132 ,950 ,229 ,206 ,900 
Maria Pinto ,7 ,7 ,100 ,7 ,100 ,25 ,25 ,100 
Melipilla ,47 ,47 ,100 ,47 ,100 ,108 ,106 ,981 
Nunoa ,64 ,64 ,100 ,58 ,900 ,113 ,113 ,100 
Padre Hurtado ,45 ,45 ,100 ,45 ,100 ,75 ,75 ,100 
Paine ,49 ,45 ,918 ,45 ,918 ,63 ,63 ,100 
Pedro Aguirre Cerda ,41 ,40 ,976 ,39 ,951 ,60 ,60 ,100 
Penaflor ,51 ,49 ,961 ,47 ,922 ,87 ,85 ,977 
Penalolen ,131 ,127 ,969 ,131 ,100 ,236 ,236 ,100 
Pirque ,16 ,16 ,100 ,16 ,100 ,28 ,28 ,100 
Providencia ,6 ,6 ,100 ,6 ,100 ,22 ,22 ,100 
Pudahuel ,116 ,71 ,612 ,103 ,888 ,139 ,112 ,806 
Puente Alto ,460 ,NR ,NR ,321 ,698 ,735 ,296 ,403 
Quilicura ,65 ,57 ,877 ,57 ,877 ,140 ,126 ,900 
Quinta Normal ,89 ,77 ,870 ,83 ,933 ,50 ,40 ,800 
Recoleta ,134 ,115 ,858 ,85 ,634 ,229 ,217 ,948 
Renca ,656 ,538 ,820 ,506 ,771 ,2.106 ,1.974 ,937 
San Bernardo ,55 ,55 ,100 ,50 ,909 ,183 ,173 ,945 
San Joaquin ,71 ,68 ,958 ,68 ,958 ,95 ,95 ,100 
San Jose de Maipo ,8 ,6 ,750 ,6 ,750 ,12 ,12 ,100 
San Miguel ,59 ,59 ,100 ,51 ,864 ,37 ,33 ,892 
San Pedro ,15 ,15 ,100 ,15 ,100 ,45 ,45 ,100 
San Ramon ,20 ,15 ,750 ,16 ,800 ,20 ,14 ,700 
Santiago ,58 ,44 ,759 ,52 ,897 ,19 ,19 ,100 
Talagante ,60 ,42 ,700 ,60 ,100 ,180 ,126 ,700 
Tiltil ,20 ,20 ,100 ,20 ,100 ,14 ,14 ,100 
Vitacura ,21 ,20 ,952 ,18 ,846 ,6 ,6 ,100 
Total ,4518 ,3608 ,799 ,3225 ,714 ,7746 ,6757 ,872 
