Pelluhue,2,2,100,2,100,2,2,100
Pencahue ,- ,- ,- ,- ,- ,- ,- ,- 
Rauco ,2 ,2 ,100 ,O ,00 ,2 ,2 ,100 
Retiro ,8 ,7 ,875 ,8 ,100 ,8 ,7 ,875 
Rio Claro ,2 ,2 ,100 ,1 ,500 ,2 ,2 ,100 
Romeral ,15 ,13 ,867 ,14 ,933 ,15 ,13 ,867 
Sagrada Familia ,10 ,10 ,100 ,9 ,900 ,10 ,10 ,100 
San Clemente ,26 ,25 ,962 ,15 ,577 ,26 ,25 ,962 
San Javier ,19 ,11 ,579 ,5 ,263 ,19 ,11 ,579 
San Rafael ,8 ,6 ,750 ,5 ,625 ,8 ,6 ,750 
Talca ,116 ,91 ,784 ,86 ,741 ,116 ,91 ,784 
Teno ,17 ,14 ,824 ,11 ,647 ,17 ,14 ,824 
Vichuquen ,- ,- ,- ,- ,- ,- ,- ,- 
Villa Alegre ,10 ,6 ,600 ,4 ,400 ,10 ,6 ,600 
Yerbas Buenas ,4 ,4 ,100 ,4 ,100 ,4 ,4 ,100 
Total ,485 ,393 ,810 ,358 ,738 ,485 ,393 ,810 
