Comuna,Proporcioninvestigados,decasosantesde,nuevos48hrs,Proporciondecontactos,casosconidentificados,Proporcioninvestigados,decontactosantesde,nuevos48hrs
,Casos Nuevos ,Investigados ,% ,Casos con Contacto ,% ,Contactos Nuevos ,Investigados ,% 
Alto Biobio ,3 ,3 ,100 ,2 ,667 ,4 ,4 ,100 
Antuco ,- ,- ,- ,- ,,- ,- ,- 
Arauco ,28 ,28 ,100 ,28 ,100 ,109 ,109 ,100 
Cabrero ,- ,- ,- ,- ,- ,10 ,10 ,100 
Canete ,16 ,16 ,100 ,16 ,100 ,129 ,129 ,100 
Chiguayante ,69 ,65 ,942 ,68 ,986 ,232 ,40 ,172 
Concepcion ,220 ,214 ,973 ,197 ,895 ,481 ,181 ,376 
Contulmo ,1 ,1 ,100 ,1 ,100 ,9 ,9 ,100 
Coronel ,102 ,100 ,980 ,94 ,922 ,251 ,65 ,259 
Curanilahue ,7 ,7 ,100 ,7 ,100 ,44 ,44 ,100 
Florida ,3 ,2 ,667 ,2 ,667 ,4 ,0 ,00 
Hualpen ,106 ,101 ,953 ,95 ,896 ,304 ,85 ,280 
Hualqui ,41 ,39 ,951 ,34 ,829 ,81 ,12 ,148 
Laja ,1 ,1 ,100 ,1 ,100 ,7 ,7 ,100 
Lebu ,5 ,5 ,100 ,5 ,100 ,35 ,35 ,100 
Los Alamos ,13 ,13 ,100 ,13 ,100 ,55 ,55 ,100 
LOs Angeles ,34 ,33 ,971 ,22 ,647 ,136 ,136 ,100 
Lota ,23 ,23 ,100 ,18 ,783 ,102 ,24 ,235 
Mulchen ,4 ,4 ,100 ,4 ,100 ,33 ,33 ,100 
Nacimiento ,8 ,8 ,100 ,4 ,500 ,58 ,58 ,100 
Negrete ,11 ,11 ,100 ,8 ,727 ,53 ,52 ,981 
Penco ,64 ,58 ,906 ,56 ,875 ,288 ,83 ,288 
Quilaco ,2 ,2 ,100 ,2 ,100 ,16 ,16 ,100 
Quilleco ,4 ,4 ,100 ,4 ,100 ,16 ,16 ,100 
San Pedro de la Paz ,100 ,98 ,980 ,90 ,900 ,284 ,93 ,327 
San Rosendo ,- ,- ,- ,- ,- ,- ,- ,- 
Santa Barbara ,10 ,9 ,900 ,5 ,500 ,16 ,16 ,100 
Santa Juana ,5 ,5 ,100 ,2 ,400 ,18 ,O ,00 
Talcahuano ,127 ,123 ,969 ,108 ,850 ,445 ,97 ,218 
Tirua ,4 ,4 ,100 ,4 ,100 ,22 ,22 ,100 
Tome ,87 ,84 ,966 ,80 ,920 ,247 ,56 ,227 
Tucapel ,8 ,8 ,100 ,8 ,100 ,40 ,40 ,100 
Yumbel ,7 ,7 ,100 ,5 ,714 ,16 ,16 ,100 
Total ,1113 ,1076 ,967 ,983 ,883 ,3545 ,1543 ,435 
