Region,CasosTotales,Numerodecasosqueprovienedeloscontactosestrechos,%deCasosqueprovienedecontactoestrecho(debesersobre60%)
Arica - Parinacota ,447 ,272 ,61% 
Tarapaca ,428 ,291 ,68% 
Antofagasta ,714 ,324 ,45% 
Atacama ,964 ,720 ,75% 
Coquimbo ,914 ,564 ,62% 
Valparaiso ,1701 ,1071 ,63% 
Metropolitana ,4518 ,2962 ,66% 
O'Higgins ,1033 ,214 ,21% 
Maule ,485 ,291 ,60% 
Nuble ,317 ,73 ,23% 
Biobio ,1113 ,720 ,65% 
Araucania ,216 ,199 ,92% 
LOs Rios ,66 ,60 ,91% 
Los Lagos ,544 ,336 ,62% 
Aysen ,10 ,8 ,80% 
Magallanes ,274 ,67 ,24% 
Total ,13744 ,8172 ,59.5 
