Canela,OOOOO,O,O,O,O,1,O,2,O,2,2,O,1,6,5,O,O
Combarbala ,O O O O O ,O ,O ,O ,O ,2 ,3 ,4 ,3 ,5 ,3 ,2 ,7 ,O ,1 ,1 ,O 
Coquimbo ,& O O 4 13 3 ,1 ,1 ,6 ,7 ,22 ,85 ,85 ,70 ,150 ,142 ,149 ,177 ,231 ,218 ,117 ,O 
Illapel ,O O O O 4 ,7 ,7 ,O ,O ,1 ,O ,1 ,6 ,21 ,14 ,18 ,20 ,39 ,39 ,35 ,O 
La Higuera ,& 0 O O O O ,O ,0 ,O ,O ,O ,O ,O ,O ,1 ,2 ,O ,O ,O ,5 ,1 ,O 
La Serena ,& O 1 O 3 6 ,4 ,3 ,3 ,5 ,17 ,51 ,50 ,76 ,114 ,113 ,132 ,196 ,182 ,206 ,99 ,O 
Los Vilos ,& O O O 1 O ,O ,O ,O ,O ,O ,1 ,O ,3 ,5 ,6 ,7 ,12 ,26 ,8 ,5 ,O 
Monte Patria ,& O O O O O ,O ,O ,O ,O ,1 ,6 ,19 ,25 ,27 ,24 ,45 ,22 ,30 ,21 ,9 ,O 
Ovalle ,& O O 3 2 4 ,2 ,O ,5 ,1 ,15 ,32 ,48 ,58 ,114 ,170 ,178 ,146 ,132 ,89 ,47 ,O 
Paiguano ,0 0 O O O ,O ,0 ,O ,O ,O ,O ,O ,2 ,2 ,1 ,2 ,O ,0 ,O ,1 ,O 
Punitaqui ,O O O O O ,O ,O ,1 ,1 ,3 ,6 ,O ,4 ,16 ,2 ,7 ,5 ,7 ,4 ,8 ,O 
Rio Hurtado ,O O O 1 O ,O ,O ,O ,O ,1 ,O ,1 ,2 ,5 ,6 ,1 ,O ,O ,5 ,O ,O 
Salamanca ,O 1 O 1 2 ,1 ,2 ,1 ,O ,3 ,2 ,2 ,5 ,15 ,14 ,3 ,4 ,2 ,7 ,3 ,O 
Vicuna ,O O O O O ,O ,1 ,O ,1 ,3 ,5 ,3 ,5 ,4 ,7 ,2 ,1 ,6 ,9 ,3 ,O 
Desconocido ,& 0 O O 1 O ,3 ,1 ,1 ,1 ,2 ,1 ,3 ,10 ,8 ,9 ,29 ,14 ,24 ,15 ,37 ,O 
Total ,0 2 7 22 19 ,18 ,15 ,17 ,16 ,73 ,199 ,221 ,272 ,496 ,520 ,575 ,610 ,692 ,634 ,366 ,0 
