ConCon,&OOO46,2,1O,11,69,16,19,27,53,47,52,79,69,30O
EI Quisco ,O O O 1 O ,4 ,2 4 ,O ,5 9 ,14 ,15 ,15 ,18 ,11 ,7 ,12 ,22 ,1 0 
EI Tabo ,O O O O 5 ,O ,2 3 ,3 ,4 7 ,6 ,16 ,26 ,18 ,20 ,22 ,31 ,17 ,9 O 
Hijuelas ,& O O O O O ,O ,1 O ,O ,O O ,8 ,10 ,14 ,13 ,13 ,20 ,24 ,18 ,11 O 
Isla de Pascua ,O O O 2 1 ,2 ,O O ,O ,O O ,O ,O ,0 ,O ,O ,0 ,O ,O ,O 0 
Juan Fernandez ,O O O O O ,O ,O O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O O 
La Cruz ,& O 1 O 1 2 ,3 ,1 O ,1 ,8 8 ,4 ,5 ,14 ,15 ,11 ,13 ,24 ,15 ,5 O 
La Ligua ,& O O O 2 1 ,1 ,O 1 ,O ,1 3 ,10 ,17 ,27 ,33 ,50 ,32 ,42 ,38 ,19 O 
Limache ,& O O O 3 O ,5 ,9 6 ,1 ,7 25 ,33 ,25 ,36 ,82 ,100 ,108 ,79 ,92 ,30 0 
Llaillay ,& 0 0 O 1 1 ,0 ,0 0 ,1 ,2 5 ,29 ,23 ,25 ,35 ,25 ,35 ,29 ,25 ,30 O 
Los Andes ,& 0 O O 2 2 ,O ,4 O ,2 ,10 21 ,57 ,84 ,94 ,141 ,118 ,112 ,92 ,79 ,35 O 
Nogales ,& O O O O O ,O ,O O ,O ,2 4 ,6 ,6 ,7 ,9 ,16 ,19 ,15 ,18 ,6 O 
Olmue ,& 0 O O O O ,1 ,1 1 ,O ,O 2 ,5 ,11 ,7 ,14 ,21 ,15 ,9 ,17 ,10 0 
Panquehue ,O O O O O ,0 ,0 O ,O ,O 4 ,5 ,6 ,4 ,15 ,8 ,10 ,8 ,6 ,8 O 
Papudo ,& O O O O O ,1 ,O 1 ,O ,O O ,6 ,4 ,13 ,14 ,13 ,10 ,6 ,5 ,4 O 
Petorca ,O O O 1 4 ,2 ,O O ,O ,O 1 ,4 ,5 ,9 ,4 ,5 ,12 ,13 ,8 ,5 O 
Puchuncavi ,& 0 O O O O ,O ,O O ,O ,O 4 ,8 ,6 ,8 ,30 ,26 ,25 ,18 ,13 ,6 O 
Putaendo ,& O O O 1 O ,1 ,2 4 ,2 ,2 7 ,7 ,7 ,14 ,29 ,27 ,28 ,27 ,20 ,11 0 
Quillota ,& O 1 O 3 7 ,3 ,8 1 ,5 ,3 18 ,21 ,46 ,79 ,198 ,196 ,221 ,208 ,207 ,66 0 
Quilpue ,& 0 1 3 3 9 ,6 ,4 6 ,12 ,19 47 ,76 ,79 ,111 ,158 ,155 ,221 ,182 ,181 ,73 O 
Quintero ,& 1 O O 2 1 ,1 ,O 6 ,2 ,3 24 ,23 ,28 ,41 ,50 ,41 ,43 ,39 ,19 ,9 O 
Rinconada ,O O O O O ,4 ,O O ,O ,O 2 ,15 ,18 ,15 ,19 ,20 ,23 ,15 ,14 ,6 O 
San Antonio ,& O O O O 6 ,14 ,11 22 ,38 ,70 60 ,101 ,95 ,137 ,144 ,120 ,94 ,90 ,75 ,35 0 
San Esteban ,& 0 O 0 O O ,1 ,O 1 ,2 ,2 7 ,4 ,10 ,16 ,32 ,19 ,20 ,29 ,27 ,17 O 
San Felipe ,& O O O 3 3 ,2 ,O 1 ,2 ,6 19 ,60 ,70 ,116 ,185 ,178 ,112 ,130 ,82 ,47 O 
Santa Maria ,& 0 O O O 2 ,O ,O O ,4 ,15 3 ,5 ,8 ,13 ,18 ,30 ,34 ,23 ,26 ,11 O 
Santo Domingo ,0 O 2 1 O ,6 ,4 4 ,4 ,5 4 ,11 ,6 ,9 ,32 ,21 ,10 ,9 ,6 ,3 O 
Valparaiso ,& 0 1 2 11 14 ,13 ,20 16 ,26 ,83 116 ,151 ,236 ,319 ,495 ,534 ,513 ,373 ,306 ,195 O 
Villa Alemana ,& O O 1 8 4 ,3 ,O 1 ,5 ,31 42 ,50 ,73 ,125 ,184 ,181 ,212 ,136 ,154 ,72 O 
