Macul,&,134635,4523,3359.5,140,104.0,243,180.5,242,179.7
Maipu ,& ,578605 ,13272 ,2293.8 ,306 ,52.9 ,853 ,147.4 ,851 ,147.1 
Maria Pinto ,& ,14926 ,303 ,2030.0 ,4 ,26.8 ,37 ,247.9 ,37 ,247.9 
Melipilla ,& ,141612 ,3408 ,2406.6 ,85 ,60.0 ,373 ,263.4 ,370 ,261.3 
Nunoa ,& ,250192 ,5093 ,2035.6 ,204 ,81.5 ,266 ,106.3 ,265 ,105.9 
Padre Hurtado ,& ,74188 ,1902 ,2563.8 ,46 ,62.0 ,154 ,207.6 ,153 ,206.2 
Paine ,& ,82766 ,1650 ,1993.6 ,33 ,39.9 ,224 ,270.6 ,223 ,269.4 
Pedro Aguirre Cerda ,& ,107803 ,3922 ,3638.1 ,176 ,163.3 ,240 ,222.6 ,237 ,219.8 
Penaflor ,& ,101058 ,2516 ,2489.7 ,87 ,86.1 ,197 ,194.9 ,196 ,193.9 
Penalolen ,& ,266798 ,10796 ,4046.5 ,259 ,97.1 ,567 ,212.5 ,564 ,211.4 
Pirque ,& ,30433 ,1013 ,3328.6 ,24 ,78.9 ,92 ,302.3 ,91 ,299.0 
Providencia ,& ,157749 ,2905 ,1841.5 ,121 ,76.7 ,199 ,126.1 ,198 ,125.5 
Pudahuel ,& ,253139 ,8978 ,3546.7 ,192 ,75.8 ,530 ,209.4 ,529 ,209.0 
Puente Alto ,& ,645909 ,20923 ,3239.3 ,467 ,72.3 ,1122 ,173.7 ,1118 ,173.1 
Quilicura ,& ,254694 ,8340 ,3274.5 ,123 ,48.3 ,374 ,146.8 ,374 ,146.8 
Quinta Normal ,& ,136368 ,5358 ,3929.1 ,147 ,107.8 ,342 ,250.8 ,340 ,249.3 
Recoleta ,& ,190075 ,7932 ,4173.1 ,277 ,145.7 ,298 ,156.8 ,297 ,156.3 
Renca ,& ,160847 ,7273 ,4521.7 ,186 ,115.6 ,544 ,338.2 ,544 ,338.2 
San Bernardo ,& ,334836 ,10089 ,3013.1 ,276 ,82.4 ,682 ,203.7 ,680 ,203.1 
San Joaquin ,& ,103485 ,4522 ,4369.7 ,133 ,128.5 ,282 ,272.5 ,281 ,271.5 
San Jose de Maipo ,& ,18644 ,552 ,2960.7 ,17 ,91.2 ,27 ,144.8 ,27 ,144.8 
San Miguel ,& ,133059 ,4782 ,3593.9 ,111 ,83.4 ,279 ,209.7 ,275 ,206.7 
San Pedro ,& ,11953 ,211 ,1765.2 ,3 ,25.1 ,27 ,225.9 ,27 ,225.9 
San Ramon ,& ,86510 ,4179 ,4830.7 ,135 ,156.1 ,236 ,272.8 ,236 ,272.8 
Santiago ,& ,503147 ,13852 ,2753.1 ,239 ,47.5 ,689 ,136.9 ,687 ,136.5 
Talagante ,& ,81838 ,1480 ,1808.5 ,51 ,62.3 ,142 ,173.5 ,140 ,171.1 
Tiltil ,& ,21477 ,518 ,2411.9 ,11 ,51.2 ,40 ,186.2 ,40 ,186.2 
Vitacura ,& ,96774 ,1380 ,1426.0 ,51 ,52.7 ,53 ,54.8 ,53 ,54.8 
Desconocido ,& ,- ,18678 ,- ,0 ,- ,1296 ,- ,1296 ,- 
Total ,,8125072 ,267963 ,3298.0 ,6874 ,84.6 ,15976 ,196.6 ,15907 ,195.8 
