Nunoa,&1127,55,43,48,48,67,70,154,368,535,751,661,670,561,424,309,194,1060
Padre Hurtado ,& 0 1 O ,5 ,10 ,5 ,13 ,10 ,16 ,60 ,98 ,170 ,236 ,232 ,279 ,233 ,186 ,174 ,116 ,58 O 
Paine ,& 0 1 O ,2 ,O ,4 ,8 ,3 ,6 ,29 ,83 ,85 ,132 ,152 ,272 ,237 ,206 ,193 ,178 ,59 O 
Pedro Aguirre Cerda ,& O O 3 ,6 ,15 ,25 ,47 ,32 ,73 ,178 ,365 ,428 ,394 ,510 ,574 ,427 ,338 ,227 ,210 ,70 O 
Penaflor ,& 1 2 5 ,3 ,9 ,6 ,10 ,15 ,28 ,58 ,109 ,210 ,308 ,311 ,346 ,348 ,330 ,206 ,141 ,70 O 
Penalolen ,& 1 2 9 ,30 ,36 ,42 ,53 ,71 ,121 ,404 ,971 ,1325 ,1634 ,1583 ,1411 ,1075 ,824 ,577 ,424 ,203 0 
Pirque ,& 0 1 3 ,1 ,3 ,1 ,5 ,5 ,17 ,38 ,60 ,80 ,161 ,150 ,117 ,113 ,84 ,76 ,74 ,24 O 
Providencia ,& 0 3 28 ,64 ,22 ,24 ,35 ,43 ,40 ,95 ,284 ,318 ,392 ,428 ,294 ,234 ,208 ,173 ,138 ,82 O 
Pudahuel ,& 1 1 3 ,20 ,27 ,37 ,44 ,46 ,138 ,365 ,670 ,1015 ,1284 ,1264 ,1330 ,872 ,762 ,520 ,380 ,199 0 
Puente Alto ,& 2 4 12 ,65 ,104 ,184 ,208 ,332 ,383 ,859 ,1570 ,2211 ,2569 ,2594 ,2825 ,2382 ,1883 ,1439 ,964 ,333 O 
Quilicura ,& O 3 3 ,21 ,31 ,43 ,46 ,142 ,328 ,553 ,819 ,958 ,894 ,1036 ,1098 ,885 ,651 ,403 ,307 ,119 O 
Quinta Normal ,& 1 2 6 ,14 ,27 ,40 ,50 ,53 ,100 ,265 ,463 ,585 ,706 ,733 ,667 ,540 ,417 ,317 ,236 ,136 0 
Recoleta ,& 0 O 7 ,14 ,17 ,41 ,46 ,117 ,285 ,741 ,1184 ,1122 ,990 ,875 ,775 ,582 ,508 ,294 ,243 ,91 O 
Renca ,& 0 O 4 ,7 ,11 ,8 ,35 ,68 ,111 ,298 ,633 ,738 ,832 ,785 ,841 ,799 ,895 ,595 ,455 ,158 O 
San Bernardo ,& 0 1 6 ,24 ,41 ,67 ,79 ,124 ,163 ,341 ,662 ,896 ,1071 ,1299 ,1436 ,1233 ,1072 ,815 ,548 ,211 O 
San Joaquin ,& O 0 1 ,16 ,23 ,14 ,34 ,44 ,84 ,228 ,504 ,647 ,468 ,489 ,569 ,473 ,350 ,265 ,195 ,118 0 
San Jose de Maipo ,& 0 O 1 ,1 ,2 ,2 ,3 ,1 ,4 ,24 ,48 ,55 ,92 ,67 ,77 ,61 ,42 ,41 ,25 ,6 O 
San Miguel ,& 1 O 3 ,27 ,23 ,28 ,47 ,49 ,79 ,203 ,444 ,511 ,613 ,601 ,648 ,488 ,452 ,264 ,207 ,94 O 
San Pedro ,& 0 O 0 ,0 ,0 ,0 ,0 ,2 ,10 ,7 ,9 ,16 ,16 ,21 ,28 ,10 ,32 ,29 ,20 ,11 0 
San Ramon ,& 0 0 1 ,2 ,11 ,11 ,13 ,42 ,90 ,250 ,456 ,553 ,534 ,459 ,559 ,421 ,306 ,205 ,181 ,85 0 
Santiago ,& 1 3 29 ,99 ,106 ,149 ,168 ,175 ,388 ,952 ,1687 ,1677 ,1836 ,1614 ,1450 ,1181 ,966 ,618 ,483 ,270 O 
Talagante ,& 0 O O ,4 ,8 ,7 ,3 ,10 ,10 ,44 ,59 ,95 ,124 ,153 ,186 ,220 ,206 ,186 ,126 ,39 O 
Tiltil ,& O 0 0 ,2 ,1 ,2 ,1 ,6 ,5 ,11 ,34 ,43 ,58 ,62 ,92 ,61 ,50 ,44 ,35 ,11 O 
Vitacura ,& 0 6 32 ,50 ,29 ,14 ,7 ,5 ,13 ,56 ,159 ,212 ,185 ,149 ,135 ,96 ,93 ,78 ,44 ,17 0 
Desconocido ,& 0 O 7 ,10 ,15 ,55 ,175 ,362 ,592 ,772 ,1632 ,2569 ,2833 ,2056 ,1743 ,1687 ,1699 ,1117 ,730 ,624 O 
Total ,16 69 351 ,1034 ,1131 ,1474 ,1923 ,2897 ,5343 ,12498 ,23525 ,30588 ,34133 ,33640 ,34004 ,27773 ,23205 ,16610 ,12183 ,5565 0 
