Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,& ,15925 ,111 ,697.0 ,2 ,12.6 ,33 ,207.2 ,32 ,200.9 
Chimbarongo ,& ,37696 ,138 ,366.1 ,3 ,8.0 ,25 ,66.3 ,25 ,66.3 
Codegua ,& ,14096 ,135 ,957.7 ,3 ,21.3 ,26 ,184.4 ,26 ,184.4 
Coinco ,,7831 ,89 ,1136.5 ,3 ,38.3 ,21 ,268.2 ,21 ,268.2 
Coltauco ,& ,21263 ,122 ,573.8 ,3 ,14.1 ,22 ,103.5 ,22 ,103.5 
Donihue ,& ,22700 ,307 ,1352.4 ,5 ,22.0 ,63 ,277.5 ,62 ,273.1 
Graneros ,& ,36504 ,389 ,1065.6 ,3 ,8.2 ,80 ,219.2 ,80 ,219.2 
La Estrella ,,3114 ,31 ,995.5 ,O ,0.0 ,6 ,192.7 ,6 ,192.7 
Las Cabras ,,26749 ,160 ,598.2 ,3 ,11.2 ,44 ,164.5 ,44 ,164.5 
Litueche ,,6765 ,73 ,1079.1 ,1 ,14.8 ,9 ,133.0 ,9 ,133.0 
Lolol ,,7289 ,45 ,617.4 ,1 ,13.7 ,1 ,13.7 ,1 ,13.7 
Machali ,& ,59913 ,835 ,1393.7 ,8 ,13.4 ,138 ,230.3 ,138 ,230.3 
Malloa ,& ,14163 ,72 ,508.4 ,2 ,14.1 ,14 ,98.8 ,14 ,98.8 
Marchihue ,,7632 ,17 ,222.7 ,0 ,0.0 ,4 ,52.4 ,4 ,52.4 
Mostazal ,& ,27462 ,202 ,735.6 ,3 ,10.9 ,37 ,134.7 ,37 ,134.7 
Nancagua ,& ,19141 ,79 ,412.7 ,2 ,10.4 ,18 ,94.0 ,18 ,94.0 
Navidad ,& ,6904 ,71 ,1028.4 ,1 ,14.5 ,8 ,115.9 ,8 ,115.9 
Olivar ,& ,14624 ,173 ,1183.0 ,3 ,20.5 ,44 ,300.9 ,44 ,300.9 
Palmilla ,& ,13299 ,33 ,248.1 ,2 ,15.0 ,8 ,60.2 ,8 ,60.2 
Paredones ,,6349 ,14 ,220.5 ,0 ,0.0 ,3 ,47.3 ,3 ,47.3 
Peralillo ,,11848 ,49 ,413.6 ,1 ,8.4 ,4 ,33.8 ,4 ,33.8 
