Peumo,14952,37,247.5,3,20.1,12,80.3
Pichidegua ,& 20743 ,111 ,535.1 ,3 ,14.5 ,33 ,159.1 
Pichilemu ,17882 ,48 ,268.4 ,O ,0.0 ,11 ,61.5 
Placilla ,9164 ,52 ,567.4 ,O ,0.0 ,13 ,141.9 
Pumanque ,3531 ,4 ,113.3 ,O ,0.0 ,O ,0.0 
Quinta de Tilcoco ,& 13877 ,78 ,562.1 ,1 ,7.2 ,22 ,158.5 
Rancagua ,& 265211 ,4948 ,1865.7 ,64 ,24.1 ,872 ,328.8 
Rengo ,& 63710 ,747 ,1172.5 ,3 ,4.7 ,243 ,381.4 
Requinoa ,& 30371 ,316 ,1040.5 ,4 ,13.2 ,75 ,246.9 
San Fernando ,& 78642 ,313 ,398.0 ,5 ,6.4 ,81 ,103.0 
San Vicente ,50617 ,306 ,604.5 ,6 ,11.9 ,65 ,128.4 
Santa Cruz ,& 41096 ,133 ,323.6 ,3 ,7.3 ,31 ,75.4 
Desconocido ,& - ,97 ,- ,O ,- ,36 ,- 
Total ,991063 ,10335 ,1042.8 ,141 ,14.2 ,2102 ,212.1 
,,,,,,,
,SE SE SE SE ,SE SE SE ,SE SE SE SE ,SE SE ,SE SE SE ,SE SE ,SE SE SE 
Comuna ,9 10 11 12 ,13 14 15 ,16 17 18 19 ,20 21 ,22 23 24 ,25 26 ,27 28 29 
Chepica ,& 1 0 0 0 ,O O O ,O 0 0 1 ,6 0 ,4 6 22 ,18 20 ,15 18 0 
Chimbarongo ,& 0 0 0 2 ,1 O 0 ,O 1 1 5 ,13 8 ,7 12 17 ,16 29 ,20 6 O 
Codegua ,& O O O 1 ,O O O ,O O O 1 ,3 7 ,11 13 17 ,21 32 ,17 12 O 
Coinco ,0 O O 0 ,O O O ,O 1 O 4 ,10 8 ,3 5 7 ,19 9 ,16 7 0 
Coltauco ,& 0 O O 0 ,O O O ,O O 0 15 ,9 13 ,4 4 9 ,21 22 ,17 8 0 
Donihue ,& 0 O O 0 ,O O 0 ,1 1 5 12 ,16 14 ,10 20 31 ,67 58 ,55 17 O 
Graneros ,& 0 O O 1 ,O O 0 ,O 3 7 13 ,22 24 ,22 33 47 ,66 65 ,55 31 O 
La Estrella ,0 0 O 0 ,O O 0 ,0 0 O 0 ,0 O ,1 4 6 ,2 12 ,6 0 0 
Las Cabras ,O O O 0 ,O O 1 ,2 4 3 2 ,4 3 ,5 9 16 ,25 40 ,26 20 0 
Litueche ,0 O O O ,O O 0 ,1 5 2 2 ,3 O ,1 6 15 ,21 6 ,8 3 O 
Lolol ,0 O O O ,O O O ,O O O 1 ,2 1 ,10 5 7 ,5 13 ,1 O 0 
