SagradaFamilia,&19469,83,,426.3,1,,5.1,,20,,102.7
San Clemente ,& 46292 ,417 ,,900.8 ,4 ,,8.6 ,,97 ,,209.5 
San Javier ,& 49451 ,314 ,,635.0 ,8 ,,16.2 ,,65 ,,131.4 
San Rafael ,9959 ,118 ,,1184.9 ,O ,,0.0 ,,14 ,,140.6 
Talca ,& 236724 ,1635 ,,690.7 ,21 ,,8.9 ,,299 ,,126.3 
Teno ,& 30850 ,166 ,,538.1 ,3 ,,9.7 ,,37 ,,119.9 
Vichuquen ,4381 ,1 ,,22.8 ,O ,,0.0 ,,1 ,,22.8 
Villa Alegre ,& 17512 ,88 ,,502.5 ,2 ,,11.4 ,,25 ,,142.8 
Yerbas Buenas ,& 19200 ,101 ,,526.0 ,5 ,,26.0 ,,3 ,,15.6 
Desconocido ,& - ,43 ,,- ,0 ,,- ,,6 ,,- 
Total ,1131939 ,7823 ,,691.1 ,114 ,,10.1 ,,1290 ,,114.0 
,,,,,,,,,,,
,SE SE SE SE ,SE SE ,SE ,SE SE SE SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE SE SE 
Comuna ,9 10 11 12 ,13 14 ,15 ,16 17 18 19 ,20 21 ,22 ,23 ,24 ,25 ,26 ,27 28 29 
Cauquenes ,& 0 O O 0 ,2 3 ,1 ,9 2 1 6 ,13 14 ,52 ,54 ,44 ,51 ,42 ,28 26 0 
Chanco ,O O 0 O ,1 0 ,0 ,1 1 O 1 ,O 1 ,O ,8 ,6 ,9 ,1 ,1 4 O 
Colbun ,& O O O O ,3 3 ,O ,O O 1 4 ,9 13 ,15 ,10 ,23 ,23 ,15 ,20 7 O 
Constitucion ,& 0 O 0 0 ,3 3 ,5 ,7 4 1 2 ,3 5 ,6 ,20 ,24 ,45 ,52 ,37 13 0 
Curepto ,0 O O 0 ,0 3 ,2 ,3 0 1 1 ,2 0 ,1 ,1 ,3 ,10 ,6 ,5 1 O 
Curico ,& O 1 2 3 ,6 3 ,12 ,10 10 12 20 ,45 149 ,192 ,275 ,263 ,235 ,215 ,159 76 O 
Empedrado ,O O 0 O ,0 O ,O ,O O O 0 ,O O ,O ,2 ,6 ,14 ,4 ,1 O O 
Hualane ,0 O 0 O ,O O ,O ,1 O 0 O ,3 15 ,29 ,29 ,20 ,11 ,4 ,1 0 O 
Licanten ,0 O 0 O ,0 1 ,O ,1 O O O ,O O ,2 ,5 ,4 ,5 ,1 ,O 1 O 
Linares ,& 1 O O 2 ,5 5 ,4 ,6 3 4 13 ,17 18 ,30 ,42 ,82 ,92 ,79 ,81 50 O 
Longavi ,& 0 O 0 1 ,0 1 ,1 ,1 0 2 5 ,12 11 ,23 ,28 ,52 ,33 ,25 ,25 15 0 
Maule ,& O O O 1 ,1 2 ,6 ,12 3 O 3 ,13 13 ,30 ,34 ,34 ,48 ,42 ,57 26 O 
Molina ,& 0 O O 1 ,2 0 ,1 ,3 O O 2 ,4 9 ,22 ,23 ,23 ,44 ,47 ,19 17 O 
Parral ,& 0 O O 1 ,3 2 ,2 ,2 O O 6 ,7 42 ,55 ,31 ,25 ,30 ,18 ,16 3 O 
