Total,511551,3687,,720.7,,51,,10.0,,686,,134.1
,,,,,,,,,,,,
,SE SE SE SE ,SE ,SE SE ,SE SE SE ,SE ,SE SE ,SE ,SE ,SE ,SE SE ,SE ,SE SE 
Comuna ,9 10 11 12 ,13 ,14 15 ,16 17 18 ,19 ,20 21 ,22 ,23 ,24 ,25 26 ,27 ,28 29 
Bulnes ,O O O 9 ,27 ,10 7 ,8 8 9 ,24 ,44 26 ,19 ,19 ,16 ,19 13 ,29 ,21 O 
Chillan ,& 0 1 28 120 ,117 ,75 33 ,25 17 16 ,20 ,67 59 ,68 ,114 ,124 ,174 140 ,168 ,127 O 
Chillan Viejo ,& O O 5 7 ,19 ,7 14 ,3 1 O ,4 ,15 22 ,12 ,27 ,21 ,25 20 ,26 ,12 O 
Cobquecura ,O O O O ,O ,O O ,O O O ,O ,O O ,O ,O ,O ,O O ,O ,1 O 
Coelemu ,O O O O ,2 ,2 O ,O O O ,O ,2 6 ,11 ,8 ,9 ,18 4 ,1 ,7 O 
Coihueco ,O O O 2 ,3 ,4 6 ,12 12 3 ,1 ,8 1 ,1 ,5 ,11 ,17 11 ,29 ,27 O 
EI Carmen ,O O O 2 ,O ,1 O ,0 O O ,1 ,3 7 ,15 ,4 ,16 ,10 7 ,7 ,13 O 
Ninhue ,O O O O ,O ,2 O ,2 O O ,O ,1 3 ,2 ,2 ,7 ,7 11 ,4 ,O O 
Niquen ,& O O O 1 ,O ,1 2 ,O O 1 ,O ,5 3 ,11 ,17 ,18 ,5 5 ,1 ,2 O 
Pemuco ,O O O 1 ,O ,4 1 ,O O O ,3 ,1 2 ,5 ,5 ,20 ,32 4 ,9 ,8 O 
Pinto ,O O O 2 ,3 ,5 1 ,1 O 0 ,O ,3 O ,2 ,O ,3 ,8 9 ,4 ,13 O 
Portezuelo ,O O O O ,O ,O O ,O O O ,1 ,4 2 ,O ,O ,O ,4 O ,1 ,3 O 
Quillon ,O O O 8 ,8 ,8 1 ,O 2 2 ,2 ,9 6 ,13 ,24 ,20 ,15 7 ,15 ,24 O 
Quirihue ,O O O O ,1 ,2 O ,1 O 1 ,7 ,4 1 ,4 ,1 ,1 ,8 9 ,5 ,12 O 
Ranquil ,O O O 1 ,3 ,6 O ,O O O ,1 ,O O ,O ,1 ,4 ,8 2 ,1 ,2 O 
San Carlos ,& 0 O 2 5 ,11 ,9 3 ,3 3 3 ,7 ,7 13 ,28 ,60 ,92 ,55 43 ,60 ,28 O 
San Fabian ,O O O 3 ,3 ,1 O ,1 O O ,O ,O 1 ,O ,O ,O ,O O ,O ,1 O 
San Ignacio ,& O O O 2 ,3 ,1 O ,1 3 3 ,1 ,2 6 ,8 ,10 ,53 ,39 5 ,6 ,14 O 
San Nicolas ,O O O 2 ,6 ,5 4 ,O O O ,2 ,3 9 ,8 ,10 ,5 ,3 10 ,11 ,18 O 
Treguaco ,O O O O ,O ,O O ,O O O ,O ,1 O ,O ,1 ,O ,1 1 ,O ,1 O 
Yungay ,O O O 3 ,16 ,21 3 ,4 6 2 ,2 ,2 O ,6 ,2 ,5 ,11 13 ,3 ,8 O 
Desconocido ,& 0 O O O ,O ,O O ,O O O ,O ,O O ,O ,O ,O ,O O ,O ,2 O 
,,,164 ,,,167 ,,310 ,425 ,314 ,,
