Penco,&,49865,356,713.9,1,2.0,70,140.4,70
Quilaco ,,4179 ,12 ,287.2 ,O ,0.0 ,1 ,23.9 ,1 
Quilleco ,,10032 ,36 ,358.9 ,1 ,10.0 ,19 ,189.4 ,19 
Pedro de la ,& ,145906 ,723 ,495.5 ,13 ,8.9 ,117 ,80.2 ,116 
Rosendo ,,3611 ,30 ,830.8 ,1 ,27.7 ,5 ,138.5 ,5 
Santa Barbara ,,14592 ,110 ,753.8 ,O ,0.0 ,19 ,130.2 ,19 
Santa Juana ,,14779 ,73 ,493.9 ,4 ,27.1 ,7 ,47.4 ,7 
Talcahuano ,& ,158345 ,902 ,569.6 ,4 ,2.5 ,177 ,111.8 ,176 
Tirua ,,11019 ,30 ,272.3 ,0 ,0.0 ,O ,0.0 ,O 
Tome ,& ,58729 ,333 ,567.0 ,1 ,1.7 ,15 ,25.5 ,15 
Tucapel ,,15205 ,138 ,907.6 ,1 ,6.6 ,19 ,125.0 ,18 
Yumbel ,& ,22132 ,188 ,849.4 ,1 ,4.5 ,71 ,320.8 ,71 
Desconocido ,& ,- ,145 ,- ,0 ,- ,27 ,- ,27 
Total ,,1663696 ,9621 ,578.3 ,87 ,5.2 ,1655 ,99.5 ,1652 
,,,,,,,,,
,,SE SE SE ,SE SE SE ,SE SE SE ,SE SE ,SE SE SE ,SE SE ,SE SE ,SE SE SE 
Comuna ,,9 10 11 ,12 13 14 ,15 16 17 ,18 19 ,20 21 22 ,23 24 ,25 26 ,27 28 29 
Biobio ,,O O O ,O O O ,O 0 0 ,O O ,7 43 51 ,27 11 ,10 2 ,7 9 0 
Antuco ,,0 O 0 ,0 0 0 ,0 0 0 ,0 2 ,2 1 13 ,2 5 ,13 4 ,5 5 O 
Arauco ,,O O 1 ,2 2 1 ,O O O ,5 4 ,14 17 24 ,22 33 ,65 62 ,31 3 O 
Cabrero ,& ,O O O ,1 O 4 ,3 7 1 ,3 4 ,2 3 3 ,8 24 ,35 14 ,10 7 O 
Canete ,,0 O 0 ,0 0 0 ,0 0 0 ,0 0 ,1 9 4 ,7 1 ,7 4 ,3 3 0 
Chiguayante ,,0 O 5 ,5 9 16 ,12 10 12 ,8 7 ,9 9 27 ,40 60 ,52 50 ,60 40 O 
Concepcion ,& ,1 1 7 ,28 30 23 ,22 18 14 ,20 19 ,21 93 99 ,134 251 ,259 170 ,124 90 0 
Contulmo ,,O O 0 ,0 0 0 ,0 O O ,O 0 ,O 1 1 ,O 0 ,11 27 ,3 O O 
Coronel ,& ,0 O 1 ,6 7 4 ,1 0 5 ,2 14 ,16 50 130 ,111 150 ,225 171 ,147 54 0 
Curanilahue ,& ,0 0 0 ,1 0 0 ,0 0 0 ,1 3 ,O 2 4 ,12 9 ,17 17 ,25 33 0 
Florida ,,0 O O ,O 2 1 ,O 0 0 ,0 2 ,O 2 O ,O 7 ,7 11 ,2 2 O 
