Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto del Carmen ,5729 ,10 ,174.6 ,0 ,0.0 ,1 ,17.5 ,1 ,17.5 
Caldera ,19426 ,59 ,303.7 ,0 ,0.0 ,15 ,77.2 ,15 ,77.2 
Chanaral ,13164 ,38 ,288.7 ,0 ,0.0 ,9 ,68.4 ,9 ,68.4 
Copiapo ,& 171766 ,1171 ,681.7 ,6 ,3.5 ,264 ,153.7 ,264 ,153.7 
Diego de Almagro ,& 14358 ,49 ,341.3 ,3 ,20.9 ,4 ,27.9 ,4 ,27.9 
Freirina ,7681 ,46 ,598.9 ,O ,0.0 ,23 ,299.4 ,23 ,299.4 
Huasco ,11264 ,26 ,230.8 ,O ,0.0 ,1 ,8.9 ,1 ,8.9 
Tierra Amarilla ,14312 ,116 ,810.5 ,0 ,0.0 ,32 ,223.6 ,32 ,223.6 
Vallenar ,& 57009 ,418 ,733.2 ,O ,0.0 ,74 ,129.8 ,74 ,129.8 
Desconocido ,& - ,14 ,- ,O ,- ,2 ,- ,2 ,- 
Total ,314709 ,1947 ,618.7 ,9 ,2.9 ,425 ,135.0 ,425 ,135.0 
