Comuna,SESESESE,SESE,SESESE,SESE,SE,SE,SE,SESE,SE,SE,SE,SE,SE
,9 10 11 12 ,13 14 ,15 16 17 ,18 19 ,20 ,21 ,22 ,23 24 ,25 ,26 ,27 ,28 ,29 
Andacollo ,O O O O ,O O ,O O O ,2 7 ,3 ,3 ,7 ,6 O ,5 ,7 ,4 ,3 ,2 
Canela ,O O O O ,O O ,O O O ,1 O ,2 ,O ,2 ,2 O ,2 ,6 ,5 ,O ,O 
Combarbala ,O O O O ,O O ,O 0 O ,2 3 ,4 ,3 ,5 ,3 2 ,7 ,O ,1 ,2 ,O 
Coquimbo ,& O O 4 13 ,3 1 ,1 6 7 ,21 85 ,85 ,70 ,150 ,141 148 ,177 ,235 ,234 ,301 ,97 
Illapel ,& O O O O ,4 7 ,7 O O ,1 O ,1 ,6 ,21 ,14 18 ,20 ,39 ,40 ,58 ,3 
La Higuera ,O O O O ,O O ,O 0 O ,O O ,O ,O ,1 ,2 O ,O ,O ,6 ,4 ,7 
La Serena ,& 0 1 O 3 ,6 4 ,3 3 5 ,17 51 ,50 ,76 ,114 ,114 132 ,196 ,184 ,223 ,254 ,139 
Los Vilos ,O O O 1 ,O O ,O O O ,O 1 ,O ,3 ,5 ,6 7 ,12 ,26 ,8 ,9 ,1 
Monte Patria ,O O O O ,O O ,O O O ,1 6 ,19 ,25 ,27 ,24 45 ,22 ,30 ,24 ,14 ,11 
Ovalle ,& O O 3 2 ,4 2 ,O 5 1 ,15 32 ,48 ,58 ,114 ,169 178 ,146 ,133 ,91 ,72 ,20 
Paiguano ,O O O O ,O O ,O O O ,O O ,O ,2 ,2 ,1 2 ,O ,O ,O ,2 ,O 
Punitaqui ,O O O O ,O O ,O 1 1 ,3 6 ,O ,4 ,16 ,2 7 ,5 ,7 ,4 ,12 ,8 
Rio Hurtado ,O O O 1 ,O 0 ,O 0 0 ,1 O ,1 ,2 ,5 ,6 1 ,O ,0 ,5 ,1 ,O 
Salamanca ,& O 1 O 1 ,2 1 ,2 1 O ,3 2 ,2 ,5 ,15 ,14 3 ,4 ,3 ,7 ,10 ,5 
Vicuna ,& O O 0 O ,O O ,1 O 1 ,3 5 ,3 ,5 ,4 ,7 2 ,1 ,8 ,11 ,28 ,19 
Desconocido ,& 0 O O 1 ,O 3 ,1 1 1 ,2 1 ,3 ,10 ,8 ,9 18 ,14 ,23 ,10 ,20 ,14 
