Quilpue,&0134,9,64,6,1219,47,76,79,110,154,133,191,154,156,93,21O
Quintero ,& 1 O O 2 ,1 ,1 O ,6 ,2 3 ,24 ,23 ,28 ,40 ,50 ,39 ,37 ,36 ,16 ,24 ,11 O 
Rinconada ,& O O O O ,O ,4 O ,O ,O O ,2 ,15 ,18 ,15 ,18 ,20 ,21 ,15 ,13 ,13 ,3 O 
San Antonio ,& O O O O ,6 ,14 11 ,22 ,37 71 ,60 ,101 ,95 ,138 ,144 ,120 ,93 ,91 ,77 ,53 ,35 0 
San Esteban ,O 0 O 0 ,O ,1 O ,1 ,2 2 ,7 ,4 ,10 ,16 ,28 ,19 ,20 ,29 ,27 ,23 ,8 0 
San Felipe ,& 0 O O 3 ,3 ,2 O ,1 ,2 6 ,19 ,60 ,70 ,115 ,183 ,176 ,108 ,131 ,78 ,46 ,9 0 
Santa Maria ,& O O O O ,1 ,1 O ,O ,4 15 ,3 ,5 ,8 ,13 ,18 ,30 ,31 ,22 ,28 ,18 ,8 O 
Santo Domingo ,& O 0 2 1 ,O ,6 4 ,4 ,4 5 ,4 ,11 ,6 ,9 ,32 ,20 ,10 ,9 ,7 ,4 ,O O 
Valparaiso ,& O 1 2 11 ,14 ,13 20 ,17 ,26 83 ,114 ,151 ,234 ,311 ,476 ,460 ,431 ,320 ,254 ,256 ,116 O 
Villa Alemana ,& O O 1 7 ,4 ,3 0 ,1 ,5 31 ,42 ,50 ,72 ,122 ,176 ,150 ,183 ,117 ,123 ,96 ,23 O 
Vina del Mar ,& 1 O 5 23 ,27 ,23 13 ,21 ,26 78 ,143 ,200 ,235 ,302 ,400 ,355 ,388 ,356 ,289 ,201 ,93 O 
Zapallar ,& O O O O ,O ,O O ,O ,O O ,O ,O ,O ,1 ,2 ,2 ,17 ,11 ,12 ,11 ,1 O 
Desconocido ,& O O O 2 ,3 ,2 1 ,1 ,O O ,11 ,8 ,5 ,42 ,29 ,37 ,65 ,55 ,65 ,38 ,49 O 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
