Comuna,SESESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE
,9 10 11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 30 
Alhue ,& O O O ,0 ,0 ,1 ,0 ,O ,O ,O ,4 ,1 ,4 ,9 ,15 ,25 ,14 ,18 ,31 ,27 ,11 O 
Buin ,& O O O ,5 ,17 ,10 ,13 ,19 ,21 ,62 ,136 ,188 ,231 ,217 ,283 ,270 ,206 ,167 ,168 ,116 ,56 O 
Calera de Tango ,& 0 O O ,4 ,4 ,1 ,1 ,5 ,1 ,8 ,19 ,32 ,36 ,69 ,70 ,75 ,56 ,77 ,40 ,31 ,9 O 
Cerrillos ,& 1 3 1 ,4 ,11 ,13 ,21 ,21 ,67 ,227 ,205 ,278 ,316 ,276 ,348 ,338 ,243 ,181 ,157 ,88 ,51 O 
Cerro Navia ,& 0 2 10 ,16 ,15 ,14 ,37 ,50 ,108 ,269 ,572 ,695 ,737 ,763 ,764 ,646 ,549 ,321 ,264 ,178 ,53 O 
Colina ,& 1 3 7 ,28 ,15 ,26 ,17 ,24 ,36 ,134 ,372 ,539 ,609 ,613 ,604 ,419 ,339 ,250 ,176 ,143 ,42 0 
Conchali ,& 0 2 2 ,17 ,14 ,19 ,41 ,74 ,133 ,383 ,632 ,716 ,667 ,647 ,650 ,559 ,463 ,326 ,279 ,189 ,41 O 
Curacavi ,& 0 O 1 ,3 ,5 ,5 ,4 ,1 ,4 ,18 ,40 ,72 ,96 ,137 ,106 ,100 ,70 ,56 ,45 ,45 ,25 O 
EI Bosque ,& 0 0 1 ,14 ,23 ,34 ,52 ,46 ,89 ,223 ,405 ,552 ,547 ,747 ,853 ,718 ,567 ,480 ,378 ,238 ,88 0 
EI Monte ,& 0 O 1 ,1 ,1 ,7 ,4 ,3 ,7 ,16 ,41 ,74 ,142 ,100 ,127 ,128 ,151 ,102 ,100 ,67 ,21 O 
Estacion Central ,& O 2 3 ,11 ,28 ,34 ,42 ,81 ,169 ,379 ,571 ,674 ,680 ,743 ,695 ,567 ,442 ,316 ,214 ,197 ,74 O 
Huechuraba ,& 1 O 5 ,21 ,10 ,19 ,21 ,33 ,57 ,204 ,374 ,501 ,452 ,423 ,392 ,288 ,308 ,177 ,144 ,95 ,46 O 
Independencia ,& 0 O 4 ,16 ,10 ,26 ,50 ,146 ,308 ,573 ,788 ,776 ,773 ,732 ,570 ,449 ,332 ,213 ,197 ,155 ,61 0 
Isla de Maipo ,& 0 O O ,2 ,1 ,7 ,2 ,O ,4 ,13 ,25 ,37 ,70 ,89 ,101 ,81 ,76 ,78 ,68 ,89 ,10 O 
La Cisterna ,& O O 3 ,10 ,13 ,18 ,18 ,28 ,64 ,120 ,242 ,328 ,306 ,426 ,412 ,313 ,283 ,184 ,117 ,105 ,22 O 
La Florida ,& 1 2 12 ,31 ,59 ,64 ,80 ,106 ,208 ,595 ,1036 ,1549 ,1724 ,1631 ,1679 ,1185 ,1079 ,823 ,533 ,397 ,142 0 
La Granja ,& 0 O 1 ,6 ,16 ,36 ,22 ,21 ,75 ,273 ,614 ,919 ,1026 ,805 ,815 ,643 ,519 ,352 ,350 ,174 ,34 O 
La Pintana ,& 1 1 3 ,10 ,21 ,35 ,51 ,94 ,156 ,344 ,744 ,900 ,1273 ,1371 ,1376 ,965 ,711 ,513 ,339 ,228 ,109 O 
La Reina ,& 0 0 12 ,17 ,12 ,18 ,8 ,13 ,41 ,75 ,125 ,221 ,307 ,255 ,243 ,223 ,182 ,128 ,113 ,69 ,24 O 
Lampa ,& 0 O O ,9 ,13 ,15 ,14 ,18 ,53 ,139 ,295 ,348 ,399 ,381 ,436 ,370 ,253 ,189 ,164 ,145 ,71 0 
Las Condes ,& 1 18 60 ,128 ,69 ,42 ,37 ,34 ,73 ,247 ,503 ,698 ,752 ,684 ,575 ,495 ,370 ,282 ,212 ,134 ,79 O 
Lo Barnechea ,& 0 2 14 ,55 ,30 ,23 ,37 ,40 ,65 ,151 ,269 ,400 ,417 ,365 ,444 ,311 ,141 ,105 ,98 ,44 ,28 O 
Lo Espejo ,& 1 O 1 ,5 ,9 ,25 ,32 ,21 ,75 ,167 ,344 ,435 ,379 ,522 ,559 ,401 ,360 ,266 ,180 ,141 ,68 0 
Lo Prado ,& 0 O 3 ,6 ,21 ,16 ,24 ,31 ,105 ,196 ,353 ,498 ,511 ,618 ,531 ,493 ,403 ,251 ,209 ,199 ,104 O 
Macul ,& O 1 3 ,17 ,23 ,20 ,14 ,23 ,78 ,190 ,441 ,534 ,639 ,553 ,628 ,462 ,377 ,255 ,182 ,147 ,46 O 
Maipu ,& 0 1 13 ,52 ,73 ,83 ,97 ,116 ,157 ,431 ,907 ,1362 ,1581 ,1693 ,1848 ,1642 ,1280 ,982 ,701 ,498 ,139 O 
Maria Pinto ,& 0 O O ,O ,O ,O ,1 ,O ,2 ,2 ,18 ,25 ,38 ,37 ,41 ,27 ,28 ,46 ,31 ,24 ,7 0 
,,,,,,,,,,,,,,,,,,,
