Total,1131939,,8584,758.3,,127,,11.2,,1106,,,97.71104
,,,,,,,,,,,,,
Comuna ,SE SE SE SE ,SE ,SE SE SE ,SE SE ,SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE SE SE 
,9 10 11 12 ,13 ,14 15 16 ,17 18 ,19 ,20 ,21 22 ,23 ,24 ,25 ,26 ,27 ,28 29 30 
Cauquenes ,0 O O O ,2 ,3 1 9 ,2 1 ,6 ,13 ,14 52 ,54 ,44 ,51 ,43 ,28 ,40 23 O 
Chanco ,0 O O 0 ,1 ,0 0 1 ,1 O ,1 ,0 ,1 0 ,8 ,6 ,9 ,1 ,1 ,10 3 0 
Colbun ,O O O O ,3 ,3 O O ,O 1 ,4 ,9 ,13 15 ,10 ,22 ,23 ,15 ,22 ,15 10 O 
Constitucion ,O O O O ,3 ,3 5 7 ,4 1 ,2 ,3 ,5 6 ,20 ,24 ,45 ,51 ,38 ,35 18 O 
Curepto ,& 0 O 0 O ,0 ,2 2 4 ,O 1 ,1 ,2 ,O 1 ,1 ,3 ,10 ,6 ,5 ,1 2 O 
Curico ,& 0 1 2 3 ,6 ,3 12 10 ,10 12 ,20 ,45 ,149 193 ,275 ,263 ,234 ,218 ,162 ,151 64 0 
Empedrado ,O O O O ,O ,O O O ,O O ,O ,O ,O O ,2 ,6 ,14 ,4 ,1 ,1 1 O 
Hualane ,O O O O ,O ,O O 1 ,O O ,O ,3 ,15 29 ,29 ,20 ,11 ,4 ,1 ,O O O 
Licanten ,0 O 0 0 ,0 ,1 0 1 ,0 O ,0 ,0 ,O 2 ,5 ,4 ,5 ,1 ,O ,1 0 0 
Linares ,1 O O 2 ,5 ,5 4 6 ,3 4 ,13 ,17 ,18 30 ,42 ,81 ,92 ,78 ,83 ,83 24 0 
Longavi ,& 0 O O 1 ,0 ,1 1 1 ,O 2 ,5 ,12 ,11 23 ,28 ,52 ,34 ,24 ,28 ,26 5 O 
Maule ,& 0 O 0 1 ,1 ,2 6 12 ,3 0 ,3 ,14 ,13 30 ,34 ,35 ,50 ,40 ,55 ,47 24 0 
Molina ,0 O O 1 ,2 ,O 1 3 ,O O ,2 ,4 ,9 22 ,23 ,23 ,44 ,46 ,20 ,30 6 O 
Parral ,& 0 O O 1 ,3 ,2 2 2 ,O O ,6 ,7 ,42 55 ,31 ,24 ,30 ,17 ,17 ,13 9 O 
Pelarco ,0 O O O ,0 ,O 3 2 ,O 2 ,4 ,5 ,4 5 ,6 ,3 ,3 ,3 ,3 ,13 10 0 
