Hualpen,O03,23,332717,8,2611,91731,26,70,86,108,71,81,26O
Hualqui ,O O 1 ,1 ,2 3 4 ,9 ,O 1 2 ,5 12 7 ,13 ,17 ,38 ,30 ,15 ,14 ,19 O 
Laja ,O 1 1 ,O ,3 1 1 ,1 ,5 1 17 ,20 8 7 ,6 ,10 ,15 ,20 ,18 ,18 ,5 O 
Lebu ,O O O ,O ,O O O ,O ,O 1 1 ,O O 6 ,6 ,5 ,8 ,3 ,O ,2 ,4 O 
Los Alamos ,0 O O ,0 ,0 O 1 ,0 ,O 1 O ,1 O 3 ,4 ,4 ,38 ,28 ,14 ,10 ,6 O 
Los Angeles ,& 0 O 3 ,6 ,9 6 5 ,4 ,O 4 32 ,64 89 78 ,87 ,88 ,135 ,161 ,114 ,97 ,76 O 
Lota ,& 0 O O ,1 ,O 1 O ,O ,O 1 16 ,10 15 21 ,23 ,45 ,67 ,62 ,56 ,35 ,15 O 
Mulchen ,O O O ,1 ,4 O O ,O ,O 2 3 ,1 1 11 ,3 ,3 ,12 ,27 ,26 ,25 ,6 O 
Nacimiento ,O O O ,2 ,3 3 2 ,O ,1 3 8 ,4 8 7 ,6 ,20 ,30 ,28 ,17 ,13 ,1 O 
Negrete ,O O O ,O ,O 2 O ,O ,O O 7 ,12 10 9 ,12 ,21 ,15 ,17 ,6 ,12 ,3 O 
Penco ,& 0 0 O ,1 ,4 3 3 ,8 ,O 3 2 ,2 10 14 ,43 ,74 ,49 ,52 ,47 ,39 ,21 O 
Quilaco ,O O O ,O ,O O O ,O ,O O O ,O O 2 ,3 ,1 ,1 ,5 ,O ,1 ,2 O 
Quilleco ,O O O ,O ,O O O ,O ,O O O ,O 1 2 ,2 ,2 ,1 ,8 ,12 ,10 ,4 O 
San Pedro de la Paz ,& O O 6 ,35 ,17 23 8 ,11 ,4 3 14 ,14 38 64 ,66 ,98 ,115 ,79 ,96 ,73 ,52 O 
San Rosendo ,O O O ,O ,O O O ,O ,O O 1 ,1 O 2 ,2 ,O ,8 ,8 ,6 ,5 ,1 O 
Santa Barbara ,O O O ,O ,2 1 O ,O ,O O 4 ,9 7 19 ,7 ,8 ,23 ,9 ,14 ,14 ,1 O 
Santa Juana ,O O O ,O ,O 1 O ,0 ,1 O O ,O O 3 ,17 ,23 ,15 ,7 ,2 ,5 ,10 O 
Talcahuano ,O O 1 ,16 ,16 20 14 ,14 ,21 17 18 ,18 42 69 ,54 ,110 ,151 ,127 ,112 ,119 ,70 O 
Tirua ,O O O ,1 ,2 1 O ,O ,O O O ,O O 1 ,4 ,5 ,9 ,7 ,O ,O ,O O 
Tome ,O O O ,9 ,13 13 7 ,9 ,1 4 16 ,6 8 15 ,53 ,63 ,65 ,33 ,13 ,16 ,7 O 
Tucapel ,O 0 O ,O ,O 1 O ,0 ,0 0 1 ,4 6 11 ,21 ,13 ,28 ,34 ,14 ,8 ,6 O 
Yumbel ,0 O O ,0 ,5 O 1 ,1 ,1 2 4 ,3 5 12 ,3 ,20 ,40 ,20 ,46 ,33 ,6 O 
Desconocido ,& O O O ,1 ,O 0 O ,0 ,0 0 2 ,4 6 7 ,9 ,8 ,30 ,41 ,8 ,11 ,17 O 
,,,,,,,,,,,,,
Total ,1 2 29 ,140 ,164 155 102 ,100 ,69 88 213 ,259 513 757 ,833 ,1262 ,1680 ,1450 ,1129 ,1038 ,617 0 
