Pucon,29782,79,265.3,0,0.0,8,,,26.9,
Puren ,& 12188 ,35 ,287.2 ,1 ,8.2 ,4 ,,,32.8 ,
Renaico ,10833 ,53 ,489.2 ,1 ,9.2 ,O ,,,0.0 ,
Saavedra ,12793 ,99 ,773.9 ,O ,0.0 ,1 ,,,7.8 ,
Temuco ,& 302931 ,1097 ,362.1 ,24 ,7.9 ,57 ,,,18.8 ,
Teodoro Schmidt ,15786 ,31 ,196.4 ,O ,0.0 ,O ,,,0.0 ,
Tolten ,10055 ,17 ,169.1 ,0 ,0.0 ,O ,,,0.0 ,
Traiguen ,19314 ,49 ,253.7 ,O ,0.0 ,O ,,,0.0 ,
Victoria ,& 35467 ,181 ,510.3 ,7 ,19.7 ,9 ,,,25.4 ,
Vilcun ,30766 ,127 ,412.8 ,2 ,6.5 ,6 ,,,19.5 ,
Villarrica ,59103 ,104 ,176.0 ,O ,0.0 ,3 ,,,5.1 ,
Desconocido ,& - ,2 ,- ,O ,- ,O ,,,- ,
Total ,1014343 ,3769 ,371.6 ,66 ,6.5 ,185 ,,,18.2 ,
,,,,,,,,,,
Comuna ,SE SE SE SE ,SE SE ,SE SE SE ,SE SE SE ,SE SE ,SE SE ,SE ,SE ,SE ,SE 
,9 10 11 12 ,13 14 ,15 16 17 ,18 19 20 ,21 22 ,23 24 ,25 ,26 ,27 ,28 
Angol ,& 0 1 1 3 ,10 11 ,15 35 27 ,11 11 7 ,24 19 ,57 59 ,42 ,29 ,43 ,28 
Carahue ,O O O O ,3 10 ,9 8 5 ,1 O 2 ,14 11 ,5 5 ,5 ,2 ,2 ,5 
Cholchol ,O O O 1 ,2 O ,0 1 O ,O 1 O ,1 12 ,5 1 ,0 ,O ,4 ,3 
Collipulli ,0 O 0 0 ,0 1 ,1 1 3 ,0 2 9 ,9 6 ,8 9 ,6 ,10 ,3 ,0 
Cunco ,& 0 O O 0 ,3 2 ,O 1 O ,0 1 5 ,18 O ,11 8 ,3 ,5 ,4 ,13 
Curacautin ,O O O 2 ,O 2 ,O O 2 ,0 1 O ,O 2 ,4 9 ,0 ,1 ,1 ,4 
Curarrehue ,0 O 1 1 ,2 O ,0 O O ,0 0 O ,0 O ,0 0 ,0 ,0 ,O ,O 
Ercilla ,O 0 O 0 ,O 4 ,0 5 1 ,1 0 O ,4 1 ,1 2 ,0 ,O ,2 ,8 
Freire ,O O O 2 ,4 O ,O 2 O ,1 12 11 ,28 16 ,18 6 ,9 ,2 ,1 ,4 
Galvarino ,0 O O 0 ,O 2 ,0 O O ,1 O O ,6 43 ,41 13 ,6 ,10 ,11 ,O 
Gorbea ,& 0 0 1 4 ,4 1 ,0 1 0 ,1 3 O ,5 5 ,5 6 ,0 ,0 ,O ,2 
Lautaro ,1 0 O 6 ,3 15 ,5 6 2 ,6 11 3 ,14 21 ,6 10 ,5 ,6 ,3 ,6 
