Loncoche,OOO2,32,43,3,3,32,7,19,164,17,3,11O
Lonquimay ,O O O O ,O O ,O O ,2 ,13 ,12 27 ,12 ,1 ,O O 3 ,O ,O ,O O O 
Los Sauces ,O O O O ,O O ,O 1 ,O ,O ,O O ,1 ,3 ,2 1 1 ,7 ,3 ,2 O O 
Lumaco ,O O O O ,O O ,O 4 ,2 ,1 ,O 1 ,3 ,2 ,9 8 6 ,2 ,2 ,1 O O 
Melipeuco ,O O O O ,O O ,O O ,O ,O ,O O ,5 ,2 ,1 O O ,O ,1 ,2 O O 
Nueva Imperial ,O O O 4 ,10 4 ,13 5 ,4 ,2 ,6 5 ,2 ,3 ,24 19 11 ,9 ,6 ,O 1 O 
Padre Las Casas ,O O O 12 ,27 24 ,17 17 ,11 ,O ,5 24 ,16 ,13 ,4 7 2 ,3 ,20 ,4 6 O 
Perquenco ,O O O 1 ,1 O ,O 3 ,O ,O ,1 O ,O ,2 ,7 3 8 ,11 ,3 ,3 O O 
Pitrufquen ,O O O 4 ,9 4 ,O 1 ,O ,3 ,1 6 ,15 ,20 ,9 1 8 ,9 ,5 ,O O O 
Pucon ,O O 1 3 ,O 4 ,3 1 ,3 ,O ,3 2 ,12 ,16 ,9 3 4 ,5 ,2 ,3 5 O 
Puren & ,0 O O O ,2 O ,O 2 ,O ,2 ,1 O ,1 ,1 ,O 6 5 ,6 ,3 ,4 2 O 
Renaico ,O O O O ,O 1 ,3 3 ,O ,4 ,3 5 ,4 ,2 ,2 5 12 ,4 ,4 ,1 O O 
Saavedra ,O O 1 1 ,O 1 ,5 8 ,17 ,13 ,18 11 ,9 ,4 ,5 3 O ,O ,2 ,1 O O 
Temuco & ,0 3 26 157 ,175 129 ,113 58 ,25 ,27 ,49 44 ,28 ,16 ,20 30 28 ,44 ,60 ,45 20 O 
Teodoro Schmidt ,O O O 1 ,2 O ,1 1 ,O ,O ,O 1 ,3 ,1 ,2 9 6 ,3 ,1 ,O O O 
Tolten ,O O O 4 ,1 2 ,1 O ,O ,O ,O 2 ,5 ,1 ,O O O ,O ,1 ,O O O 
Traiguen ,O O O O ,O 1 ,O 1 ,O ,O ,1 4 ,4 ,5 ,7 7 6 ,9 ,4 ,O O O 
Victoria & ,O O 1 2 ,9 2 ,1 31 ,20 ,11 ,2 4 ,20 ,14 ,23 21 1 ,4 ,5 ,4 6 O 
Vilcun ,O O O 6 ,11 15 ,8 4 ,3 ,5 ,6 7 ,21 ,9 ,7 4 5 ,2 ,7 ,6 1 O 
Villarrica ,O O O 2 ,10 6 ,1 1 ,O ,O ,1 2 ,4 ,7 ,7 23 19 ,15 ,3 ,2 1 O 
Desconocido & ,O O O O ,1 O ,O O ,O ,O ,O O ,O ,1 ,O O O ,O ,O ,O O O 
