Total,891440,2923,,327.9,,31,,3.5,,550
,,,,,,,,,,
Comuna ,SE SE SE SE ,SE SE ,SE ,SE SE SE ,SE SE ,SE ,SE SE ,SE ,SE ,SE SE 
,9 10 11 12 ,13 14 ,15 ,16 17 18 ,19 20 ,21 ,22 23 ,24 ,25 ,26 27 
Ancud ,& 0 O O O ,1 O ,6 ,3 1 21 ,19 23 ,10 ,2 4 ,3 ,1 ,6 0 
Calbuco ,O O 0 3 ,1 1 ,1 ,1 0 0 ,1 O ,O ,1 O ,2 ,19 ,43 30 
Castro ,O O O 2 ,O 5 ,O ,O O O ,1 O ,O ,O O ,1 ,O ,O O 
Chaiten ,& O O O O ,1 O ,O ,O O O ,O O ,O ,O O ,O ,O ,O 1 
Chonchi ,O O O O ,O O ,O ,0 O O ,0 O ,O ,O O ,O ,O ,1 O 
Cochamo ,& 0 O 0 0 ,O O ,1 ,O 0 O ,0 0 ,0 ,O 0 ,O ,1 ,6 O 
Curaco de Velez ,O O O O ,O O ,O ,O O O ,O O ,O ,O O ,1 ,O ,12 2 
Dalcahue ,O O O O ,O O ,O ,O O O ,1 3 ,2 ,O O ,1 ,O ,O O 
Fresia ,O 0 0 O ,0 0 ,O ,0 0 O ,O O ,0 ,O O ,4 ,1 ,6 9 
Frutillar ,O O O O ,1 3 ,2 ,O O O ,1 O ,3 ,2 3 ,7 ,20 ,26 53 
Futaleufu ,O O O O ,O O ,O ,O O O ,O 1 ,O ,O O ,O ,O ,O O 
Hualaihue ,O O O O ,3 O ,O ,0 0 O ,0 O ,O ,1 1 ,1 ,3 ,1 2 
Llanquihue ,O O O O ,1 O ,O ,O O O ,5 O ,O ,3 3 ,11 ,18 ,7 16 
Los Muermos ,O O O 1 ,O O ,O ,O O O ,1 O ,O ,O 1 ,1 ,13 ,7 12 
Maullin ,O O O O ,O O ,1 ,O O O ,O 5 ,9 ,O O ,O ,2 ,3 10 
