Comuna,SESESESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
,9 10 11 12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 
Aisen ,O O 1 O ,O ,O ,O ,O ,O ,O ,O ,O ,1 ,2 ,O ,2 ,5 ,3 ,3 ,11 ,7 
Chile Chico ,O O O O ,O ,1 ,O ,O ,O ,O ,O ,O ,0 ,O ,O ,O ,O ,0 ,O ,O ,O 
Cisnes ,O 0 O O ,O ,0 ,0 ,0 ,0 ,O ,0 ,O ,0 ,0 ,O ,O ,O ,0 ,O ,0 ,O 
Cochrane ,O O O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O 
Coyhaique ,O O 1 O ,O ,1 ,O ,O ,O ,O ,1 ,O ,4 ,3 ,3 ,2 ,4 ,9 ,O ,2 ,O 
Guaitecas ,O O O O ,O ,O ,O ,O ,O ,O ,O ,O ,0 ,O ,O ,O ,O ,O ,O ,O ,O 
Lago Verde ,O O O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O 
O'Higgins ,O O O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O 
Rio Ibanez ,O O O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O 
Tortel ,O O O O ,O ,O ,O ,O ,O ,O ,O ,O ,0 ,O ,O ,O ,O ,O ,O ,O ,0 
Desconocido ,O O 1 O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O 
Total ,0 0 3 0 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,5 ,5 ,3 ,4 ,9 ,12 ,3 ,13 ,7 
