,,,,Numero,deCasos,segun,Fechade,Inicio,deSintomas.,,Notificacion,O,Tomade,Muestra,,,
,Residencia ,SE SE ,SE SE SE ,SE ,SE SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE SE 
Region de Notificacion O Toma de Muestra ,Desconocida ,9 10 ,11 12 13 ,14 ,15 16 ,17 18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 30 
Region de Arica y Parinacota ,5 ,0 0 ,0 0 O ,0 ,1 O ,0 0 ,0 ,0 ,1 ,0 ,0 ,O ,0 ,0 ,0 ,0 ,3 O 
Region de Tarapaca ,371 ,O O ,O 0 O ,0 ,1 O ,1 5 ,95 ,29 ,27 ,25 ,31 ,26 ,20 ,22 ,17 ,24 ,48 O 
Region de Antofagasta ,196 ,O O ,O O O ,O ,O O ,5 O ,1 ,1 ,O ,O ,5 ,10 ,41 ,30 ,32 ,33 ,38 O 
Region de Atacama ,14 ,O O ,O 0 O ,0 ,O O ,O O ,O ,O ,O ,0 ,O ,O ,9 ,1 ,2 ,1 ,1 O 
Region de Coquimbo ,139 ,O O ,O 1 O ,3 ,1 1 ,1 2 ,1 ,3 ,10 ,8 ,9 ,18 ,14 ,23 ,10 ,20 ,14 O 
Region de Valparaiso ,413 ,O 0 ,O 2 3 ,2 ,1 1 ,O O ,11 ,8 ,5 ,42 ,29 ,37 ,65 ,55 ,65 ,38 ,49 O 
Region Metropolitana de Santiago ,18219 ,O O ,7 10 15 ,55 ,175 361 ,584 765 ,1591 ,2519 ,2736 ,1982 ,1642 ,1579 ,1642 ,1058 ,646 ,470 ,382 O 
Region del Libertador General Bernardo OHiggins ,90 ,O 0 ,O O O ,0 ,2 O ,O O ,1 ,2 ,12 ,O ,8 ,4 ,16 ,12 ,6 ,22 ,5 O 
Region del Maule ,40 ,O O ,O 1 O ,0 ,O O ,1 O ,O ,1 ,O ,3 ,6 ,7 ,10 ,5 ,O ,3 ,3 O 
Region del Nuble ,8 ,O O ,O O O ,O ,O O ,O O ,O ,O ,O ,O ,O ,O ,0 ,O ,O ,2 ,6 O 
Region del Biobio ,144 ,O O ,O 1 O ,O ,O O ,O O ,2 ,4 ,6 ,7 ,9 ,8 ,30 ,41 ,8 ,11 ,17 O 
Region de la Araucania ,2 ,O O ,0 0 1 ,0 ,O O ,O 0 ,0 ,O ,0 ,1 ,O ,0 ,0 ,O ,0 ,O ,0 0 
Region de LOs Rios ,6 ,O O ,1 O O ,0 ,1 1 ,O O ,O ,O ,O ,1 ,O ,1 ,1 ,O ,0 ,O ,O O 
Region de Los Lagos ,65 ,0 0 ,9 10 3 ,1 ,O O ,3 0 ,1 ,1 ,2 ,3 ,1 ,1 ,3 ,3 ,4 ,12 ,8 0 
Region de Aysen del General Carlos ibanez del Campo ,1 ,0 0 ,1 0 O ,0 ,0 0 ,0 0 ,0 ,0 ,O ,0 ,0 ,0 ,0 ,O ,0 ,0 ,O O 
Region de Magallanes y la Antartica Chilena ,70 ,O O ,O 1 O ,1 ,42 14 ,4 2 ,1 ,O ,O ,O ,O ,1 ,1 ,1 ,1 ,1 ,O O 
Desconocido ,74 ,O O ,O 2 16 ,2 ,4 5 ,5 5 ,1 ,O ,1 ,2 ,21 ,1 ,5 ,O ,O ,O ,3 O 
Total pais ,19857 ,0 0 ,18 28 38 ,64 ,228 383 ,604 779 ,1705 ,2568 ,2800 ,2074 ,1761 ,1693 ,1857 ,1251 ,791 ,637 ,577 0 
