,,Casosinformados,del4,al10deJulio,,,Casosinformados,del11,al17deJulio,
Region ,Casos Confirmados ,Casos Probables ,Casos Totales ,Casos investigados ,% de casos Investigados ,Casos Confirmado ,Casos Probables ,Casos Totales ,Casos investigado ,% de casos Investigados 
Arica Parinacota ,373 ,19 ,392 ,335 ,85% ,541 ,39 ,580 ,520 ,90% 
Tarapaca ,589 ,26 ,615 ,330 ,54% ,401 ,22 ,423 ,383 ,91% 
Antofagasta ,1444 ,64 ,1508 ,1351 ,90% ,1136 ,31 ,1167 ,921 ,79% 
Atacama ,259 ,6 ,265 ,265 ,100% ,214 ,0 ,214 ,203 ,95% 
Coquimbo ,585 ,49 ,634 ,300 ,47% ,460 ,67 ,527 ,430 ,82% 
Valparaiso ,1287 ,720 ,2007 ,1150 ,57% ,1004 ,220 ,1224 ,820 ,67% 
Metropolitana ,9242 ,2085 ,11327 ,9144 ,81% ,7374 ,1178 ,8552 ,6867 ,80% 
O'Higgins ,1210 ,241 ,1451 ,1396 ,96% ,953 ,142 ,1095 ,1070 ,98% 
Maule ,689 ,125 ,814 ,788 ,97% ,657 ,40 ,697 ,673 ,97% 
Nuble ,305 ,99 ,404 ,404 ,100% ,186 ,162 ,348 ,348 ,100% 
Biobio ,889 ,86 ,975 ,975 ,100% ,855 ,47 ,902 ,888 ,98% 
Araucania ,169 ,0 ,169 ,169 ,100% ,130 ,5 ,135 ,135 ,100% 
Los Rios ,38 ,0 ,38 ,38 ,100% ,55 ,1 ,56 ,56 ,100% 
Los Lagos ,290 ,40 ,330 ,295 ,89% ,407 ,29 ,436 ,395 ,91% 
Aysen ,4 ,0 ,4 ,4 ,100% ,18 ,0 ,18 ,18 ,100% 
Magallanes ,54 ,0 ,54 ,54 ,100% ,47 ,4 ,51 ,51 ,100% 
Total ,17427 ,3560 ,20987 ,16998 ,81% ,14510 ,1987 ,16497 ,13778 ,84% 
