,Casos,informadosdel4,al10deJulio,Casos,informadosdel11,al17deJulio
Region ,Casos Totales ,Numero de casos que proviene de los contactos estrechos ,Porcentaje ,Casos Totales ,Numero de casos que proviene de los contactos estrechos ,Porcentaje 
Arica Parinacota ,392 ,215 ,55% ,580 ,319 ,55% 
Tarapaca ,615 ,217 ,35% ,423 ,256 ,61% 
Antofagasta ,1508 ,487 ,32% ,1167 ,599 ,51% 
Atacama ,265 ,216 ,82% ,214 ,131 ,61% 
Coquimbo ,634 ,203 ,32% ,527 ,299 ,57% 
Valparaiso ,2007 ,687 ,34% ,1224 ,775 ,63% 
Metropolitana ,11327 ,6974 ,62% ,8552 ,5312 ,62% 
O'Higgins ,1451 ,954 ,66% ,1095 ,670 ,61% 
Maule ,814 ,482 ,59% ,697 ,447 ,64% 
Nuble ,404 ,157 ,39% ,348 ,194 ,56% 
Biobio ,975 ,645 ,66% ,902 ,618 ,69% 
Araucania ,169 ,118 ,70% ,135 ,112 ,83% 
Los Rios ,38 ,30 ,79% ,56 ,48 ,86% 
Los Lagos ,330 ,199 ,60% ,436 ,244 ,56% 
Aysen ,4 ,4 ,100% ,18 ,13 ,72% 
Magallanes ,54 ,21 ,39% ,51 ,29 ,57% 
Total ,20987 ,11889 ,57% ,16497 ,10404 ,63% 
