,SESESESE,SESE,SESE,SESESE,SE,SE,SE,SESE,SE,SE,SE,SE,SESE
Comuna ,9 10 11 12 ,13 14 ,15 16 ,17 18 19 ,20 ,21 ,22 ,23 ,24 25 ,26 ,27 ,28 ,29 30 
Andacollo ,& O O O O ,O O ,O O ,O 2 7 ,3 ,3 ,7 ,6 ,O 5 ,7 ,4 ,1 ,O O 
Canela ,& O O O O ,O O ,O O ,O 1 O ,2 ,O ,2 ,2 O ,2 ,6 ,5 ,O ,O O 
Combarbala ,O O O O ,O O ,O O ,O 2 3 ,4 ,3 ,5 ,3 2 ,7 ,O ,1 ,1 ,O O 
Coquimbo ,& 0 0 4 13 ,3 1 ,1 6 ,7 22 85 ,85 ,70 ,150 ,142 ,149 177 ,232 ,223 ,221 ,17 O 
Illapel ,O O O O ,4 7 ,7 O ,O 1 O ,1 ,6 ,21 ,14 ,18 20 ,39 ,39 ,45 ,O O 
La Higuera ,O O O O ,O O ,O O ,O O O ,O ,O ,1 ,2 O ,O ,O ,6 ,4 ,O O 
La Serena ,& 0 1 O 3 ,6 4 ,3 3 ,5 17 51 ,50 ,76 ,114 ,114 ,132 196 ,184 ,222 ,209 ,57 O 
Los Vilos ,O 0 O 1 ,O 0 ,O 0 ,0 O 1 ,O ,3 ,5 ,6 7 ,12 ,26 ,8 ,8 ,O O 
Monte Patria ,O O O O ,O O ,O O ,O 1 6 ,19 ,25 ,27 ,24 45 ,22 ,30 ,24 ,15 ,O O 
Ovalle ,& O O 3 2 ,4 2 ,O 5 ,1 15 32 ,48 ,58 ,114 ,170 ,178 146 ,133 ,89 ,58 ,7 O 
Paiguano ,O O O O ,O O ,O 0 ,O O O ,O ,2 ,2 ,1 2 ,O ,O ,O ,1 ,O O 
Punitaqui ,O 0 O O ,O O ,O 1 ,1 3 6 ,O ,4 ,16 ,2 7 ,5 ,7 ,4 ,8 ,O O 
Rio Hurtado ,O O O 1 ,O O ,O O ,O 1 O ,1 ,2 ,5 ,6 1 ,O ,O ,5 ,O ,O O 
Salamanca ,O 1 O 1 ,2 1 ,2 1 ,O 3 2 ,2 ,5 ,15 ,14 3 ,4 ,2 ,7 ,8 ,O O 
Vicuna ,& 0 O O O ,O O ,1 0 ,1 3 5 ,3 ,5 ,4 ,7 2 ,1 ,8 ,10 ,11 ,O O 
Desconocido ,& O O O 1 ,O 3 ,1 1 ,1 2 1 ,3 ,10 ,8 ,9 28 ,14 ,23 ,10 ,18 ,10 0 
Total ,0 2 7 22 ,19 18 ,15 17 ,16 73 199 ,221 ,272 ,496 ,522 ,574 611 ,697 ,657 ,608 ,91 0 
