,SESESESE,SE,SESE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SESE,SE
Comuna ,9 10 11 12 ,13 ,14 15 ,16 ,17 ,18 19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 29 ,30 
Algarrobo ,& O O 1 4 ,4 ,O O ,O ,2 ,4 6 ,13 ,10 ,7 ,19 ,17 ,7 ,7 ,2 ,2 1 ,O 
Cabildo ,& O O O O ,O ,0 0 ,O ,5 ,3 3 ,7 ,7 ,16 ,20 ,38 ,51 ,61 ,25 ,34 2 ,O 
Calera ,& O O O 1 ,6 ,3 4 ,7 ,2 ,2 7 ,19 ,21 ,22 ,50 ,60 ,86 ,81 ,96 ,81 7 ,O 
Calle Larga ,& 1 O O O ,1 ,1 3 ,1 ,O ,4 3 ,8 ,29 ,27 ,28 ,24 ,25 ,40 ,24 ,14 3 ,O 
Cartagena ,& 0 O O O ,O ,2 0 ,1 ,5 ,5 12 ,7 ,17 ,11 ,17 ,19 ,19 ,16 ,16 ,9 3 ,O 
Casablanca ,& O O O 2 ,O ,1 1 ,O ,O ,O 9 ,9 ,9 ,13 ,23 ,21 ,20 ,26 ,15 ,11 1 ,O 
Catemu ,O O O 1 ,O ,O O ,O ,O ,1 1 ,7 ,3 ,14 ,15 ,14 ,4 ,20 ,8 ,9 2 ,O 
Con Con ,& 0 O O 4 ,6 ,2 1 ,O ,11 ,6 9 ,16 ,19 ,27 ,53 ,46 ,51 ,80 ,71 ,49 4 ,O 
EI Quisco ,0 O O 1 ,O ,4 2 ,4 ,O ,5 9 ,14 ,15 ,15 ,18 ,11 ,7 ,12 ,23 ,4 2 ,O 
EI Tabo ,& O O O O ,5 ,O 2 ,3 ,3 ,4 7 ,6 ,16 ,26 ,18 ,20 ,21 ,31 ,17 ,13 1 ,O 
Hijuelas ,& O O O O ,O ,O 1 ,O ,O ,O O ,8 ,10 ,14 ,13 ,12 ,20 ,24 ,19 ,26 1 ,O 
Isla de Pascua ,O O O 2 ,1 ,2 0 ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O O ,O 
Juan Fernandez ,O O O O ,O ,O O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O 0 
La Cruz ,O 1 O 1 ,2 ,3 1 ,O ,1 ,8 8 ,4 ,5 ,14 ,15 ,11 ,13 ,24 ,16 ,13 2 ,0 
La Ligua ,& 0 O 0 2 ,1 ,1 0 ,1 ,O ,1 3 ,10 ,17 ,27 ,34 ,44 ,32 ,44 ,41 ,32 2 ,0 
Limache ,& 0 O O 3 ,O ,5 9 ,6 ,1 ,7 25 ,33 ,25 ,36 ,82 ,98 ,104 ,80 ,96 ,50 11 ,O 
Llaillay ,& 0 O O 1 ,1 ,O 0 ,0 ,1 ,2 5 ,30 ,23 ,26 ,34 ,23 ,35 ,29 ,30 ,45 1 ,O 
Los Andes ,& 0 O 0 2 ,2 ,0 4 ,O ,2 ,10 21 ,57 ,85 ,93 ,142 ,116 ,110 ,93 ,84 ,55 14 ,0 
Nogales ,& O O O O ,O ,O O ,O ,O ,2 4 ,6 ,6 ,7 ,9 ,16 ,17 ,15 ,20 ,16 3 ,O 
Olmue ,O O O 0 ,O ,1 1 ,1 ,O ,O 2 ,5 ,11 ,7 ,14 ,21 ,15 ,9 ,18 ,12 2 ,O 
Panquehue ,& O O O O ,O ,O O ,O ,O ,O 4 ,5 ,6 ,4 ,15 ,7 ,11 ,8 ,8 ,15 2 ,O 
Papudo ,& 0 O 0 0 ,0 ,1 0 ,1 ,0 ,O O ,6 ,4 ,13 ,14 ,12 ,9 ,6 ,5 ,4 ,O O 
Petorca ,& 0 O O 1 ,4 ,2 O ,O ,O ,O 1 ,4 ,5 ,9 ,4 ,5 ,12 ,12 ,10 ,6 O ,O 
Puchuncavi ,& O O O O ,O ,O O ,O ,O ,O 4 ,11 ,6 ,8 ,30 ,27 ,25 ,18 ,13 ,10 1 ,O 
Putaendo ,& O O O 1 ,O ,1 2 ,4 ,2 ,2 7 ,7 ,7 ,14 ,28 ,27 ,27 ,26 ,21 ,17 1 ,O 
Quillota ,& 0 1 0 3 ,7 ,3 8 ,1 ,5 ,3 18 ,21 ,46 ,79 ,192 ,190 ,209 ,210 ,214 ,118 7 ,0 
